rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Pleasanton RAGE ECNL G2010/11,Pleasanton Rage,44313,2,2,0,0,6,3.0,6,4,2
2,Placer United ECNL G2010/11,Placer United Soccer Club,81251,2,1,0,1,4,2.0,4,0,4
3,Marin FC ECNL G2010/11,Marin FC,82192,2,1,0,1,4,2.0,4,2,2
4,Mustang SC ECNL G2010/11,Mustang Soccer,31529,2,1,0,1,4,2.0,3,1,2
5,MVLA ECNL G2010/11,MVLA,55477,2,1,0,1,4,2.0,3,1,2
6,Stanislaus Surf - ECNL G2010/11,Stanislaus Surf Soccer Club,82857,2,1,1,0,3,1.5,2,3,-1
7,Santa Rosa United ECNL G2010/11,Santa Rosa United Soccer,132204,2,1,1,0,3,1.5,3,6,-3
8,Davis Legacy ECNL G2010/11,Davis Legacy Soccer Club,81189,3,0,1,2,2,0.67,4,5,-1
9,San Juan SC ECNL G2010/11,San Juan Soccer Club,77003,2,0,1,1,1,0.5,2,3,-1
10,Force (CA) ECNL G2010/11,Force,62271,2,0,1,1,1,0.5,2,4,-2
11,COSC ECNL G2010/11,California Odyssey Soccer Club,88375,2,0,2,0,0,0.0,3,5,-2
12,Bay Area Surf - ECNL G2010/11,Bay Area Surf,74987,1,0,1,0,0,0.0,0,2,-2
