rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,MVLA ECNL G2013/14,MVLA,97182,1,1,0,0,3,3.0,6,1,5,GU13,ECNL
2,Mustang SC ECNL G2013/14,Mustang Soccer,103790,1,1,0,0,3,3.0,4,1,3,GU13,ECNL
3,Santa Rosa United ECNL G2013/14,Santa Rosa United Soccer,132201,1,1,0,0,3,3.0,1,0,1,GU13,ECNL
4,Placer United ECNL G2013/14,Placer United Soccer Club,106267,1,0,0,1,1,1.0,2,2,0,GU13,ECNL
5,San Juan SC ECNL G2013/14,San Juan Soccer Club,111781,1,0,0,1,1,1.0,2,2,0,GU13,ECNL
6,Force (CA) ECNL G2013/14,Force,112400,1,0,0,1,1,1.0,1,1,0,GU13,ECNL
7,Marin FC ECNL G2013/14,Marin FC,114298,1,0,0,1,1,1.0,1,1,0,GU13,ECNL
8,Bay Area Surf - ECNL G2013/14,Bay Area Surf,135939,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
9,Pleasanton RAGE ECNL G2013/14,Pleasanton Rage,55311,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
10,COSC ECNL G2013/14,California Odyssey Soccer Club,116964,1,0,1,0,0,0.0,0,1,-1,GU13,ECNL
11,Davis Legacy ECNL G2013/14,Davis Legacy Soccer Club,126188,1,0,1,0,0,0.0,1,4,-3,GU13,ECNL
12,Stanislaus Surf - ECNL G2013/14,Stanislaus Surf Soccer Club,82861,1,0,1,0,0,0.0,1,6,-5,GU13,ECNL
1,Mustang SC ECNL G2012/13,Mustang Soccer,104961,1,1,0,0,3,3.0,3,1,2,GU14,ECNL
2,MVLA ECNL G2012/13,MVLA,84876,1,1,0,0,3,3.0,3,1,2,GU14,ECNL
3,San Juan SC ECNL G2012/13,San Juan Soccer Club,103791,1,1,0,0,3,3.0,3,2,1,GU14,ECNL
4,Marin FC ECNL G2012/13,Marin FC,82675,1,1,0,0,3,3.0,1,0,1,GU14,ECNL
5,Santa Rosa United ECNL G2012/13,Santa Rosa United Soccer,132202,1,1,0,0,3,3.0,1,0,1,GU14,ECNL
6,Bay Area Surf - ECNL G2012/13,Bay Area Surf,115151,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
7,Pleasanton RAGE ECNL G2012/13,Pleasanton Rage,44316,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
8,Placer United ECNL G2012/13,Placer United Soccer Club,106265,1,0,1,0,0,0.0,2,3,-1,GU14,ECNL
9,COSC ECNL G2012/13,California Odyssey Soccer Club,114556,1,0,1,0,0,0.0,0,1,-1,GU14,ECNL
10,Force (CA) ECNL G2012/13,Force,94620,1,0,1,0,0,0.0,0,1,-1,GU14,ECNL
