rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Eastside FC ECNL G10,Eastside FC (WA),69451,18,14,1,3,45,2.5,53,10,43
2,Portland Thorns ECNL G10,Portland Thorns FC,69551,18,13,3,2,41,2.28,56,17,39
3,La Roca FC ECNL G10,La Roca FC,69014,18,12,5,1,37,2.06,41,19,22
4,Seattle United ECNL G10,Seattle United,62229,18,10,2,6,36,2.0,43,17,26
5,XF Academy ECNL G10,Crossfire Premier,62279,18,10,7,1,31,1.72,33,28,5
6,Boise Thorns FC ECNL G10,Boise Timbers | Thorns,69320,18,8,8,2,26,1.44,31,23,8
7,Utah Avalanche ECNL G10,Utah Avalanche,69486,18,6,10,2,20,1.11,24,35,-11
8,Washington Premier ECNL G10,Washington Premier FC,68860,18,5,11,2,17,0.94,20,30,-10
9,Northwest Elite FC ECNL G10,Oregon Surf SC,78939,18,2,15,1,7,0.39,8,37,-29
10,PacNW SC ECNL G10,PacNW,68795,18,0,18,0,0,0.0,1,94,-93
