rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Seattle United ECNL G07,Seattle United,35177,18,16,1,1,49,2.72,63,12,51
2,XF Academy ECNL G07,No Club Selection,26840,18,13,2,3,42,2.33,49,18,31
3,La Roca FC ECNL G07,La Roca FC,45849,18,11,5,2,35,1.94,48,26,22
4,Portland Thorns ECNL G07,Portland Thorns FC,45860,18,10,3,5,35,1.94,36,19,17
5,Utah Avalanche ECNL G07,Utah Avalanche,35178,18,11,6,1,34,1.89,37,21,16
6,Northwest Elite FC ECNL G07,Oregon Surf SC,78936,18,7,9,2,23,1.28,32,31,1
7,PacNW SC ECNL G07,PacNW,19484,18,5,12,1,16,0.89,16,45,-29
8,Eastside FC ECNL G07,Eastside FC (WA),35153,18,4,12,2,14,0.78,17,47,-30
9,Boise Thorns FC ECNL G07,Boise Timbers | Thorns,35152,18,2,15,1,7,0.39,10,49,-39
10,Washington Premier ECNL G07,Washington Premier FC,35179,18,2,16,0,6,0.33,14,54,-40
