rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,XF Academy ECNL G08,No Club Selection,21818,18,18,0,0,54,3.0,76,5,71
2,Washington Premier ECNL G08,Washington Premier FC,39098,18,11,3,4,37,2.06,36,20,16
3,Eastside FC ECNL G08,Eastside FC (WA),46753,18,10,5,3,33,1.83,33,17,16
4,La Roca FC ECNL G08,La Roca FC,45848,18,9,6,3,30,1.67,27,21,6
5,Portland Thorns ECNL G08,Portland Thorns FC,45859,18,9,7,2,29,1.61,42,28,14
6,Utah Avalanche ECNL G08,Utah Avalanche,46754,18,8,9,1,25,1.39,31,39,-8
7,Boise Thorns FC ECNL G08,Boise Timbers | Thorns,46756,18,7,8,3,24,1.33,18,23,-5
8,Northwest Elite FC ECNL G08,Oregon Surf SC,78937,18,4,12,2,14,0.78,24,49,-25
9,Seattle United ECNL G08,Seattle United,39162,18,4,14,0,12,0.67,13,53,-40
10,PacNW SC ECNL G08,PacNW,35172,18,1,17,0,3,0.17,9,54,-45
