rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Seattle United ECNL G09,Seattle United,56728,18,14,4,0,42,2.33,42,10,32
2,XF Academy ECNL G09,Crossfire Premier,60436,18,13,2,3,42,2.33,36,16,20
3,La Roca FC ECNL G09,La Roca FC,45847,18,10,3,5,35,1.94,33,17,16
4,Utah Avalanche ECNL G09,Utah Avalanche,58149,18,10,7,1,31,1.72,33,29,4
5,Eastside FC ECNL G09,Eastside FC (WA),59855,18,8,6,4,28,1.56,22,16,6
6,Portland Thorns ECNL G09,Portland Thorns FC,59582,18,7,9,2,23,1.28,30,28,2
7,Boise Thorns FC ECNL G09,Boise Timbers | Thorns,59556,18,6,8,4,22,1.22,23,30,-7
8,Northwest Elite FC ECNL G09,Oregon Surf SC,78938,18,4,6,8,20,1.11,26,29,-3
9,Washington Premier ECNL G09,Washington Premier FC,54576,18,2,13,3,9,0.5,18,38,-20
10,PacNW SC ECNL G09,PacNW,46755,18,0,16,2,2,0.11,5,55,-50
