rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,La Roca FC ECNL G06/05,La Roca FC,45850,18,15,1,2,47,2.61,54,10,44,G2006/2005,ECNL
2,Utah Avalanche ECNL G06/05,Utah Avalanche,20424,18,14,4,0,42,2.33,48,18,30,G2006/2005,ECNL
3,Portland Thorns ECNL G06/05,Portland Thorns FC,45861,18,13,2,3,42,2.33,47,19,28,G2006/2005,ECNL
4,XF Academy ECNL G06/05,Crossfire Premier,13932,18,9,6,3,30,1.67,35,21,14,G2006/2005,ECNL
5,Seattle United ECNL G06/05,Seattle United,19791,18,9,6,3,30,1.67,27,23,4,G2006/2005,ECNL
6,PacNW SC ECNL G06/05,PacNW,19373,18,7,9,2,23,1.28,30,35,-5,G2006/2005,ECNL
7,Eastside FC ECNL G06/05,Eastside FC (WA),10513,18,5,10,3,18,1.0,25,30,-5,G2006/2005,ECNL
8,Washington Premier ECNL G06/05,Washington Premier FC,18776,18,4,11,3,15,0.83,24,45,-21,G2006/2005,ECNL
9,Northwest Elite FC ECNL G06/05,Oregon Surf SC,78935,18,4,13,1,13,0.72,16,49,-33,G2006/2005,ECNL
10,Boise Thorns FC ECNL G06/05,Boise Timbers | Thorns,20416,18,0,18,0,0,0.0,7,63,-56,G2006/2005,ECNL
1,Seattle United ECNL G07,Seattle United,35177,18,16,1,1,49,2.72,63,12,51,G2007,ECNL
2,XF Academy ECNL G07,No Club Selection,26840,18,13,2,3,42,2.33,49,18,31,G2007,ECNL
3,La Roca FC ECNL G07,La Roca FC,45849,18,11,5,2,35,1.94,48,26,22,G2007,ECNL
4,Portland Thorns ECNL G07,Portland Thorns FC,45860,18,10,3,5,35,1.94,36,19,17,G2007,ECNL
5,Utah Avalanche ECNL G07,Utah Avalanche,35178,18,11,6,1,34,1.89,37,21,16,G2007,ECNL
6,Northwest Elite FC ECNL G07,Oregon Surf SC,78936,18,7,9,2,23,1.28,32,31,1,G2007,ECNL
7,PacNW SC ECNL G07,PacNW,19484,18,5,12,1,16,0.89,16,45,-29,G2007,ECNL
8,Eastside FC ECNL G07,Eastside FC (WA),35153,18,4,12,2,14,0.78,17,47,-30,G2007,ECNL
9,Boise Thorns FC ECNL G07,Boise Timbers | Thorns,35152,18,2,15,1,7,0.39,10,49,-39,G2007,ECNL
10,Washington Premier ECNL G07,Washington Premier FC,35179,18,2,16,0,6,0.33,14,54,-40,G2007,ECNL
1,XF Academy ECNL G08,No Club Selection,21818,18,18,0,0,54,3.0,76,5,71,G2008,ECNL
2,Washington Premier ECNL G08,Washington Premier FC,39098,18,11,3,4,37,2.06,36,20,16,G2008,ECNL
3,Eastside FC ECNL G08,Eastside FC (WA),46753,18,10,5,3,33,1.83,33,17,16,G2008,ECNL
4,La Roca FC ECNL G08,La Roca FC,45848,18,9,6,3,30,1.67,27,21,6,G2008,ECNL
5,Portland Thorns ECNL G08,Portland Thorns FC,45859,18,9,7,2,29,1.61,42,28,14,G2008,ECNL
6,Utah Avalanche ECNL G08,Utah Avalanche,46754,18,8,9,1,25,1.39,31,39,-8,G2008,ECNL
7,Boise Thorns FC ECNL G08,Boise Timbers | Thorns,46756,18,7,8,3,24,1.33,18,23,-5,G2008,ECNL
8,Northwest Elite FC ECNL G08,Oregon Surf SC,78937,18,4,12,2,14,0.78,24,49,-25,G2008,ECNL
9,Seattle United ECNL G08,Seattle United,39162,18,4,14,0,12,0.67,13,53,-40,G2008,ECNL
10,PacNW SC ECNL G08,PacNW,35172,18,1,17,0,3,0.17,9,54,-45,G2008,ECNL
1,Seattle United ECNL G09,Seattle United,56728,18,14,4,0,42,2.33,42,10,32,G2009,ECNL
2,XF Academy ECNL G09,Crossfire Premier,60436,18,13,2,3,42,2.33,36,16,20,G2009,ECNL
3,La Roca FC ECNL G09,La Roca FC,45847,18,10,3,5,35,1.94,33,17,16,G2009,ECNL
4,Utah Avalanche ECNL G09,Utah Avalanche,58149,18,10,7,1,31,1.72,33,29,4,G2009,ECNL
5,Eastside FC ECNL G09,Eastside FC (WA),59855,18,8,6,4,28,1.56,22,16,6,G2009,ECNL
6,Portland Thorns ECNL G09,Portland Thorns FC,59582,18,7,9,2,23,1.28,30,28,2,G2009,ECNL
7,Boise Thorns FC ECNL G09,Boise Timbers | Thorns,59556,18,6,8,4,22,1.22,23,30,-7,G2009,ECNL
8,Northwest Elite FC ECNL G09,Oregon Surf SC,78938,18,4,6,8,20,1.11,26,29,-3,G2009,ECNL
9,Washington Premier ECNL G09,Washington Premier FC,54576,18,2,13,3,9,0.5,18,38,-20,G2009,ECNL
10,PacNW SC ECNL G09,PacNW,46755,18,0,16,2,2,0.11,5,55,-50,G2009,ECNL
1,Eastside FC ECNL G10,Eastside FC (WA),69451,18,14,1,3,45,2.5,53,10,43,G2010,ECNL
2,Portland Thorns ECNL G10,Portland Thorns FC,69551,18,13,3,2,41,2.28,56,17,39,G2010,ECNL
3,La Roca FC ECNL G10,La Roca FC,69014,18,12,5,1,37,2.06,41,19,22,G2010,ECNL
4,Seattle United ECNL G10,Seattle United,62229,18,10,2,6,36,2.0,43,17,26,G2010,ECNL
5,XF Academy ECNL G10,Crossfire Premier,62279,18,10,7,1,31,1.72,33,28,5,G2010,ECNL
6,Boise Thorns FC ECNL G10,Boise Timbers | Thorns,69320,18,8,8,2,26,1.44,31,23,8,G2010,ECNL
7,Utah Avalanche ECNL G10,Utah Avalanche,69486,18,6,10,2,20,1.11,24,35,-11,G2010,ECNL
8,Washington Premier ECNL G10,Washington Premier FC,68860,18,5,11,2,17,0.94,20,30,-10,G2010,ECNL
9,Northwest Elite FC ECNL G10,Oregon Surf SC,78939,18,2,15,1,7,0.39,8,37,-29,G2010,ECNL
10,PacNW SC ECNL G10,PacNW,68795,18,0,18,0,0,0.0,1,94,-93,G2010,ECNL
1,XF Academy ECNL G11,Crossfire Premier,82131,18,16,0,2,50,2.78,94,5,89,G2011,ECNL
2,Eastside FC ECNL G11,Eastside FC (WA),76992,18,14,3,1,43,2.39,44,15,29,G2011,ECNL
3,Washington Premier ECNL G11,Washington Premier FC,81526,18,11,3,4,37,2.06,36,12,24,G2011,ECNL
4,PacNW SC ECNL G11,PacNW,81140,18,8,5,5,29,1.61,21,22,-1,G2011,ECNL
5,La Roca FC ECNL G11,La Roca FC,45851,18,7,6,5,26,1.44,19,21,-2,G2011,ECNL
