rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,XF Academy ECNL G11,Crossfire Premier,82131,18,16,0,2,50,2.78,94,5,89
2,Eastside FC ECNL G11,Eastside FC (WA),76992,18,14,3,1,43,2.39,44,15,29
3,Washington Premier ECNL G11,Washington Premier FC,81526,18,11,3,4,37,2.06,36,12,24
4,PacNW SC ECNL G11,PacNW,81140,18,8,5,5,29,1.61,21,22,-1
5,La Roca FC ECNL G11,La Roca FC,45851,18,7,6,5,26,1.44,19,21,-2
6,Portland Thorns ECNL G11,Portland Thorns FC,78876,18,6,8,4,22,1.22,24,26,-2
7,Seattle United ECNL G11,Seattle United,77000,18,4,10,4,16,0.89,11,41,-30
8,Boise Thorns FC ECNL G11,Boise Timbers | Thorns,82108,18,3,11,4,13,0.72,17,38,-21
9,Northwest Elite FC ECNL G11,Oregon Surf SC,78940,18,2,12,4,10,0.56,7,48,-41
10,Utah Avalanche ECNL G11,Utah Avalanche,69910,18,0,13,5,5,0.28,6,51,-45
