rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,MVLA ECNL GU17,MVLA,12024,18,14,3,1,43,2.39,59,20,39
2,Mustang SC ECNL GU17,Mustang Soccer,12598,18,12,4,2,38,2.11,50,13,37
3,Davis Legacy ECNL GU17,Davis Legacy Soccer Club,11107,18,11,3,4,37,2.06,71,32,39
4,DeAnza Force ECNL GU17,Force,45844,18,10,7,1,31,1.72,46,17,29
5,San Juan SC ECNL GU17,San Juan Soccer Club,12597,18,7,7,4,25,1.39,22,37,-15
6,Pleasanton RAGE ECNL GU17,Pleasanton Rage,11855,18,7,8,3,24,1.33,32,39,-7
7,Santa Rosa United ECNL GU17,Santa Rosa United Soccer,12596,18,2,14,2,8,0.44,18,78,-60
8,Marin FC ECNL GU17,Marin FC,35164,18,0,16,2,2,0.11,13,49,-36
