rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Marin FC ECNL GU13,Marin FC,56277,18,5,10,3,18,1.0,24,34,-10,GU13,Bay Area
1,Utah Avalanche ECNL GU13,Utah Avalanche,58149,16,8,4,4,28,1.75,33,14,19,GU13,Mountain
1,Boise Thorns FC ECNL GU13,Boise Timbers | Thorns,59556,20,5,11,4,19,0.95,37,40,-3,GU13,Pacific
1,San Juan SC ECNL GU14,No Club Selection,39174,18,16,2,0,48,2.67,75,13,62,GU14,Bay Area
2,DeAnza Force ECNL GU14,Force,45841,18,14,2,2,44,2.44,42,8,34,GU14,Bay Area
3,Mustang SC ECNL GU14,Mustang Soccer,4653,18,11,2,5,38,2.11,42,11,31,GU14,Bay Area
4,MVLA ECNL GU14,MVLA,30872,18,10,5,3,33,1.83,66,17,49,GU14,Bay Area
5,Davis Legacy ECNL GU14,No Club Selection,39186,18,7,10,1,22,1.22,33,37,-4,GU14,Bay Area
6,Pleasanton RAGE ECNL GU14,Pleasanton Rage,39255,18,3,11,4,13,0.72,15,44,-29,GU14,Bay Area
7,Santa Rosa United ECNL GU14,Santa Rosa United Soccer,39258,18,2,13,3,9,0.5,19,67,-48,GU14,Bay Area
8,Marin FC ECNL GU14,Marin FC,39517,18,2,16,0,6,0.33,9,94,-85,GU14,Bay Area
1,Real Colorado National ECNL GU14,Real Colorado,45853,16,15,0,1,46,2.88,58,9,49,GU14,Mountain
2,La Roca FC ECNL GU14,La Roca FC,45848,16,8,5,3,27,1.69,29,23,6,GU14,Mountain
3,Colorado Rapids ECNL GU14,Colorado Storm,46752,16,8,7,1,25,1.56,46,22,24,GU14,Mountain
4,Pride SC ECNL GU14,Pride SC,48226,16,7,6,3,24,1.5,26,33,-7,GU14,Mountain
5,Real Colorado Athletico ECNL GU14,Real Colorado,46443,16,5,6,5,20,1.25,19,20,-1,GU14,Mountain
6,Utah Avalanche ECNL GU14,Utah Avalanche,46754,16,2,13,1,7,0.44,20,50,-30,GU14,Mountain
1,Crossfire Premier ECNL GU14,No Club Selection,21818,20,18,1,1,55,2.75,87,11,76,GU14,Pacific
2,Washington Premier ECNL GU14,Washington Premier FC,39098,20,15,4,1,46,2.3,65,19,46,GU14,Pacific
3,Eastside FC ECNL GU14,Eastside FC (WA),46753,20,12,6,2,38,1.9,53,22,31,GU14,Pacific
4,Portland Thorns ECNL GU14,Portland Thorns FC,45859,20,8,9,3,27,1.35,41,29,12,GU14,Pacific
5,Seattle United ECNL GU14,Seattle United,39162,20,5,11,4,19,0.95,24,41,-17,GU14,Pacific
6,Northwest Elite FC ECNL GU14,Oregon Surf SC,32701,20,4,10,6,18,0.9,16,44,-28,GU14,Pacific
7,Boise Thorns FC ECNL GU14,Boise Timbers | Thorns,46756,20,5,12,3,18,0.9,16,45,-29,GU14,Pacific
8,PacNW SC ECNL GU14,PacNW,35172,20,4,11,5,17,0.85,14,50,-36,GU14,Pacific
9,FC Portland ECNL GU14,FC Portland Academy,50300,20,0,19,1,1,0.05,1,107,-106,GU14,Pacific
1,San Juan SC ECNL GU15,San Juan Soccer Club,35173,18,16,1,1,49,2.72,72,11,61,GU15,Bay Area
2,MVLA ECNL GU15,MVLA,35169,18,16,1,1,49,2.72,82,10,72,GU15,Bay Area
3,Mustang SC ECNL GU15,Mustang Soccer,18803,18,10,6,2,32,1.78,35,21,14,GU15,Bay Area
4,Pleasanton RAGE ECNL GU15,Pleasanton Rage,35170,18,8,9,1,25,1.39,29,30,-1,GU15,Bay Area
5,DeAnza Force ECNL GU15,Force,45842,18,6,10,2,20,1.11,29,33,-4,GU15,Bay Area
6,Santa Rosa United ECNL GU15,Santa Rosa United Soccer,35174,18,6,10,2,20,1.11,19,63,-44,GU15,Bay Area
7,Davis Legacy ECNL GU15,Davis Legacy Soccer Club,21335,18,5,12,1,16,0.89,22,47,-25,GU15,Bay Area
8,Marin FC ECNL GU15,Marin FC,35162,18,1,14,3,6,0.33,5,56,-51,GU15,Bay Area
1,Real Colorado National ECNL GU15,Real Colorado,45854,16,12,2,2,38,2.38,64,19,45,GU15,Mountain
2,Utah Avalanche ECNL GU15,Utah Avalanche,35178,16,9,4,3,30,1.88,27,21,6,GU15,Mountain
3,La Roca FC ECNL GU15,La Roca FC,45849,16,9,5,2,29,1.81,30,20,10,GU15,Mountain
4,Colorado Rapids ECNL GU15,Colorado Storm,35218,16,6,6,4,22,1.38,24,23,1,GU15,Mountain
5,Real Colorado Athletico ECNL GU15,Real Colorado,46444,16,2,9,5,11,0.69,13,36,-23,GU15,Mountain
6,Pride SC ECNL GU15,Pride SC,35220,16,2,11,3,9,0.56,14,44,-30,GU15,Mountain
1,Crossfire Premier ECNL GU15,No Club Selection,26840,20,17,2,1,52,2.6,62,19,43,GU15,Pacific
2,Seattle United ECNL GU15,Seattle United,35177,20,12,7,1,37,1.85,40,37,3,GU15,Pacific
3,Eastside FC ECNL GU15,Eastside FC (WA),35153,20,11,5,4,37,1.85,26,19,7,GU15,Pacific
4,FC Portland ECNL GU15,FC Portland Academy,35159,20,10,7,3,33,1.65,45,34,11,GU15,Pacific
5,Washington Premier ECNL GU15,Washington Premier FC,35179,20,6,7,7,25,1.25,35,33,2,GU15,Pacific
6,Boise Thorns FC ECNL GU15,Boise Timbers | Thorns,35152,20,5,11,4,19,0.95,29,45,-16,GU15,Pacific
7,Portland Thorns ECNL GU15,Portland Thorns FC,45860,20,5,11,4,19,0.95,23,44,-21,GU15,Pacific
8,Northwest Elite FC ECNL GU15,Oregon Surf SC,32700,20,3,12,5,14,0.7,26,54,-28,GU15,Pacific
9,PacNW SC ECNL GU15,PacNW,19484,20,1,16,3,6,0.3,14,46,-32,GU15,Pacific
1,MVLA ECNL GU16,MVLA,20426,18,14,1,3,45,2.5,63,12,51,GU16,Bay Area
2,San Juan SC ECNL GU16,San Juan Soccer Club,20430,18,11,2,5,38,2.11,39,15,24,GU16,Bay Area
3,Davis Legacy ECNL GU16,Davis Legacy Soccer Club,20425,18,11,4,3,36,2.0,35,19,16,GU16,Bay Area
4,Mustang SC ECNL GU16,Mustang Soccer,13301,18,9,8,1,28,1.56,25,25,0,GU16,Bay Area
5,DeAnza Force ECNL GU16,Force,45843,18,6,8,4,22,1.22,18,28,-10,GU16,Bay Area
6,Marin FC ECNL GU16,Marin FC,35163,18,4,10,4,16,0.89,14,29,-15,GU16,Bay Area
7,Pleasanton RAGE ECNL GU16,Pleasanton Rage,20429,18,3,13,2,11,0.61,17,49,-32,GU16,Bay Area
8,Santa Rosa United ECNL GU16,Santa Rosa United Soccer,20432,18,1,12,5,8,0.44,16,40,-24,GU16,Bay Area
1,Colorado Rapids ECNL GU16,Colorado Storm,21349,16,13,0,3,42,2.63,67,15,52,GU16,Mountain
2,La Roca FC ECNL GU16,La Roca FC,45850,16,11,2,3,36,2.25,45,14,31,GU16,Mountain
3,Real Colorado National ECNL GU16,Real Colorado,45855,16,9,2,5,32,2.0,47,13,34,GU16,Mountain
4,Utah Avalanche ECNL GU16,Utah Avalanche,20424,16,6,5,5,23,1.44,34,26,8,GU16,Mountain
5,Real Colorado Athletico ECNL GU16,Real Colorado,46445,16,3,8,5,14,0.88,18,36,-18,GU16,Mountain
6,Pride SC ECNL GU16,No Club Selection,35221,15,0,13,2,2,0.13,5,69,-64,GU16,Mountain
1,Northwest Elite FC ECNL GU16,Oregon Surf SC,18342,20,15,5,0,45,2.25,46,25,21,GU16,Pacific
2,Crossfire Premier ECNL GU16,Crossfire Premier,13932,20,13,4,3,42,2.1,43,25,18,GU16,Pacific
3,Washington Premier ECNL GU16,Washington Premier FC,18776,20,11,3,6,39,1.95,40,20,20,GU16,Pacific
4,Portland Thorns ECNL GU16,Portland Thorns FC,45861,20,11,4,5,38,1.9,43,13,30,GU16,Pacific
5,Seattle United ECNL GU16,Seattle United,19791,20,7,10,3,24,1.2,33,34,-1,GU16,Pacific
6,Eastside FC ECNL GU16,Eastside FC (WA),10513,20,6,11,3,21,1.05,30,39,-9,GU16,Pacific
7,PacNW SC ECNL GU16,PacNW,19373,20,6,11,3,21,1.05,20,26,-6,GU16,Pacific
8,Boise Thorns FC ECNL GU16,Boise Timbers | Thorns,20416,20,2,17,1,7,0.35,9,57,-48,GU16,Pacific
9,FC Portland ECNL GU16,FC Portland Academy,20247,20,1,19,0,3,0.15,5,81,-76,GU16,Pacific
1,MVLA ECNL GU17,MVLA,12024,18,14,3,1,43,2.39,59,20,39,GU17,Bay Area
2,Mustang SC ECNL GU17,Mustang Soccer,12598,18,12,4,2,38,2.11,50,13,37,GU17,Bay Area
3,Davis Legacy ECNL GU17,Davis Legacy Soccer Club,11107,18,11,3,4,37,2.06,71,32,39,GU17,Bay Area
4,DeAnza Force ECNL GU17,Force,45844,18,10,7,1,31,1.72,46,17,29,GU17,Bay Area
5,San Juan SC ECNL GU17,San Juan Soccer Club,12597,18,7,7,4,25,1.39,22,37,-15,GU17,Bay Area
6,Pleasanton RAGE ECNL GU17,Pleasanton Rage,11855,18,7,8,3,24,1.33,32,39,-7,GU17,Bay Area
7,Santa Rosa United ECNL GU17,Santa Rosa United Soccer,12596,18,2,14,2,8,0.44,18,78,-60,GU17,Bay Area
8,Marin FC ECNL GU17,Marin FC,35164,18,0,16,2,2,0.11,13,49,-36,GU17,Bay Area
1,Real Colorado National ECNL GU17,Real Colorado,45856,15,14,0,1,43,2.87,57,7,50,GU17,Mountain
2,La Roca FC ECNL GU17,La Roca FC,45851,16,12,3,1,37,2.31,41,21,20,GU17,Mountain
3,Colorado Rapids ECNL GU17,Colorado Storm,11901,16,9,6,1,28,1.75,29,28,1,GU17,Mountain
4,Utah Avalanche ECNL GU17,Utah Avalanche,12594,15,5,7,3,18,1.2,22,26,-4,GU17,Mountain
5,Real Colorado Athletico ECNL GU17,Real Colorado,46446,16,4,9,3,15,0.94,22,33,-11,GU17,Mountain
