rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Northwest Elite FC ECNL GU16,Oregon Surf SC,18342,20,15,5,0,45,2.25,46,25,21
2,Crossfire Premier ECNL GU16,Crossfire Premier,13932,20,13,4,3,42,2.1,43,25,18
3,Washington Premier ECNL GU16,Washington Premier FC,18776,20,11,3,6,39,1.95,40,20,20
4,Portland Thorns ECNL GU16,Portland Thorns FC,45861,20,11,4,5,38,1.9,43,13,30
5,Seattle United ECNL GU16,Seattle United,19791,20,7,10,3,24,1.2,33,34,-1
6,Eastside FC ECNL GU16,Eastside FC (WA),10513,20,6,11,3,21,1.05,30,39,-9
7,PacNW SC ECNL GU16,PacNW,19373,20,6,11,3,21,1.05,20,26,-6
8,Boise Thorns FC ECNL GU16,Boise Timbers | Thorns,20416,20,2,17,1,7,0.35,9,57,-48
9,FC Portland ECNL GU16,FC Portland Academy,20247,20,1,19,0,3,0.15,5,81,-76
