rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Real Colorado National ECNL GU18/U19,Real Colorado,45857,13,12,0,1,37,2.85,38,5,33
2,La Roca FC ECNL GU18/U19,La Roca FC,45852,16,9,5,2,29,1.81,48,25,23
3,Colorado Rapids ECNL GU18/U19,Colorado Storm,6883,15,7,6,2,23,1.53,35,27,8
4,Real Colorado Athletico ECNL GU18/U19,Real Colorado,46447,13,4,7,2,14,1.08,22,28,-6
5,Utah Avalanche ECNL GU18/U19,Utah Avalanche,11580,15,5,9,1,16,1.07,25,39,-14
6,Pride SC ECNL GU18/U19,No Club Selection,35223,16,2,13,1,7,0.44,11,48,-37
