rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,GSA ECNL GU17,Gwinnett Soccer Academy,11636,22,17,1,4,55,2.5,60,16,44
2,Florida Elite ECNL GU17,Sporting SA,11546,22,15,4,3,48,2.18,45,15,30
3,United Futbol Academy ECNL GU17,United Futbol Academy,45837,22,14,5,3,45,2.05,48,24,24
4,Florida Krush ECNL GU17,No Club Selection,11093,22,11,5,6,39,1.77,35,22,13
5,Tampa Bay United ECNL GU17,Tampa Bay United,11775,22,11,7,4,37,1.68,46,31,15
6,Alabama FC ECNL GU17,Alabama FC,11332,22,10,9,3,33,1.5,26,48,-22
7,Concorde Fire Platinum ECNL GU17,Concorde Fire ,19902,22,9,9,4,31,1.41,41,42,-1
8,FC Prime ECNL GU17,Athletic Club Florida,19371,22,7,8,7,28,1.27,29,26,3
9,Concorde Fire Premier ECNL GU17,Concorde Fire ,12255,22,8,11,3,27,1.23,28,33,-5
10,Atlanta Fire United ECNL GU17,Atlanta Fire United,11274,22,3,11,8,17,0.77,25,39,-14
11,Jacksonville FC ECNL GU17,No Club Selection,12063,22,2,19,1,7,0.32,14,59,-45
12,Orlando City ECNL GU17,Seminole United,11637,22,0,18,4,4,0.18,14,56,-42
