rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Concorde Fire Platinum ECNL GU15,Concorde Fire ,35256,22,19,2,1,58,2.64,100,22,78
2,Jacksonville FC ECNL GU15,No Club Selection,35265,21,16,0,5,53,2.52,76,22,54
3,United Futbol Academy ECNL GU15,United Futbol Academy,45835,22,16,3,3,51,2.32,66,29,37
4,Orlando City ECNL GU15,Seminole United,35258,22,16,3,3,51,2.32,52,19,33
5,Alabama FC ECNL GU15,Alabama FC,35266,22,9,7,6,33,1.5,40,44,-4
6,Concorde Fire Premier ECNL GU15,Concorde Fire ,35262,22,9,11,2,29,1.32,32,42,-10
7,Tampa Bay United ECNL GU15,Tampa Bay United,21279,22,6,14,2,20,0.91,25,43,-18
8,FC Prime ECNL GU15,Athletic Club Florida,22549,20,5,12,3,18,0.9,14,39,-25
9,Florida Krush ECNL GU15,Florida Kraze Krush,35020,22,5,14,3,18,0.82,17,58,-41
10,GSA ECNL GU15,Gwinnett Soccer Academy,33371,22,5,15,2,17,0.77,21,37,-16
11,Atlanta Fire United ECNL GU15,Atlanta Fire United,34662,22,4,14,4,16,0.73,25,41,-16
12,Florida Elite ECNL GU15,Sporting SA,35114,21,2,17,2,8,0.38,8,80,-72
