rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Concorde Fire Platinum ECNL GU16,Concorde Fire ,19885,22,18,3,1,55,2.5,67,9,58
2,United Futbol Academy ECNL GU16,United Futbol Academy,45836,22,16,4,2,50,2.27,42,16,26
3,GSA ECNL GU16,Gwinnett Soccer Academy,20326,22,15,5,2,47,2.14,51,19,32
4,Tampa Bay United ECNL GU16,Tampa Bay United,20339,22,13,7,2,41,1.86,46,27,19
5,Alabama FC ECNL GU16,Alabama FC,20321,22,9,5,8,35,1.59,24,20,4
6,FC Prime ECNL GU16,Athletic Club Florida,20328,22,10,7,5,35,1.59,25,24,1
7,Orlando City ECNL GU16,Seminole United,20338,22,9,9,4,31,1.41,22,23,-1
8,Florida Krush ECNL GU16,No Club Selection,20335,22,6,13,3,21,0.95,24,42,-18
9,Concorde Fire Premier ECNL GU16,Concorde Fire ,20325,22,6,13,3,21,0.95,16,46,-30
10,Florida Elite ECNL GU16,Sporting SA,20333,22,4,14,4,16,0.73,15,35,-20
11,Jacksonville FC ECNL GU16,No Club Selection,20322,22,5,16,1,16,0.73,10,42,-32
12,Atlanta Fire United ECNL GU16,Atlanta Fire United,20323,22,3,18,1,10,0.45,12,51,-39
