rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,VA Union ECNL GU15,Fairfax Virginia Union,25892,13,12,1,0,36,2.77,44,12,32
2,Loudoun Soccer ECNL GU15,Northern Virginia Alliance,35287,13,10,0,3,33,2.54,30,6,24
3,NC Courage ECNL GU15,NC Courage Academy,44729,13,10,3,0,30,2.31,37,11,26
4,Wilmington Hammerheads ECNL GU15,No Club Selection,35272,13,8,3,2,26,2.0,33,10,23
5,Richmond United ECNL GU15,Richmond United,22314,13,7,3,3,24,1.85,22,21,1
6,Charlotte SA ECNL GU15,Charlotte Soccer Academy,44722,13,6,4,3,21,1.62,19,13,6
7,Charlotte Independence ECNL GU15,Charlotte Independence SC,35286,13,5,5,3,18,1.38,18,18,0
8,Arlington Soccer ECNL GU15,Arlington Soccer Association,59917,13,3,5,5,14,1.08,9,21,-12
9,CESA ECNL GU15,Carolina Elite Soccer Academy,20311,13,4,7,2,14,1.08,11,25,-14
10,NC Fusion ECNL GU15,NC Fusion,35269,13,3,8,2,11,0.85,17,25,-8
11,South Carolina United ECNL GU15,South Carolina United FC,35270,13,2,8,3,9,0.69,11,22,-11
12,NCFC Youth ECNL GU15,NCFC Youth,35268,13,2,8,3,9,0.69,8,27,-19
13,VDA ECNL GU15,Virginia Development Academy,35271,13,2,9,2,8,0.62,16,30,-14
14,BRYC Elite Academy ECNL GU15,Fairfax Virginia Union,11957,13,1,11,1,4,0.31,10,44,-34
