rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Loudoun Soccer ECNL GU13,Northern Virginia Alliance,54842,26,23,2,1,70,2.69,63,9,54
2,Richmond United ECNL GU13,Richmond United,59426,26,21,3,2,65,2.5,70,10,60
3,NC Courage ECNL GU13,NC Courage Academy,60108,26,17,5,4,55,2.12,71,29,42
4,Charlotte SA ECNL GU13,Charlotte Soccer Academy,59885,26,15,7,4,49,1.88,60,27,33
5,Charlotte Independence ECNL GU13,Charlotte Independence SC,59088,26,15,8,3,48,1.85,49,37,12
6,VDA ECNL GU13,Virginia Development Academy,59474,26,14,7,5,47,1.81,46,25,21
7,Arlington Soccer ECNL GU13,Arlington Soccer Association,59915,26,12,11,3,39,1.5,46,26,20
8,CESA ECNL GU13,Carolina Elite Soccer Academy,46817,26,10,10,6,36,1.38,36,23,13
9,VA Union ECNL GU13,Fairfax Virginia Union,60092,26,11,12,3,36,1.38,46,52,-6
10,Wilmington Hammerheads ECNL GU13 ,Wilmington Hammerheads,59888,26,9,14,3,30,1.15,42,55,-13
11,South Carolina United ECNL GU13,South Carolina United FC,50959,26,7,19,0,21,0.81,31,50,-19
12,NCFC Youth ECNL GU13,NCFC Youth,59930,26,6,18,2,20,0.77,22,52,-30
13,NC Fusion ECNL GU13,NC Fusion,50566,26,3,21,2,11,0.42,21,68,-47
14,BRYC Elite Academy ECNL GU13,Fairfax Virginia Union,11955,26,0,26,0,0,0.0,2,142,-140
