rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL G07,Solar SC,20122,22,19,2,1,58,2.64,88,17,71
2,OK Energy FC ECNL G07,Oklahoma Energy FC,59504,22,16,4,2,50,2.27,56,28,28
3,FC Dallas ECNL G07,FC Dallas Youth,46783,22,15,3,4,49,2.23,53,14,39
4,DKSC ECNL G07,No Club Selection,35219,22,13,4,5,44,2.0,45,21,24
5,Tulsa SC ECNL G07,No Club Selection,35234,22,8,7,7,31,1.41,18,22,-4
6,Sting Dallas Black ECNL G07,Sting Soccer Club,12441,22,7,8,7,28,1.27,20,26,-6
7,Challenge SC ECNL G07,Challenge SC,35214,22,7,12,3,24,1.09,25,41,-16
8,Dallas Texans ECNL G07,Dallas Texans,45790,22,5,9,8,23,1.05,14,26,-12
9,Albion Hurricanes FC ECNL G07,Albion Hurricanes FC,35213,22,5,10,7,22,1.0,18,36,-18
10,Sting Austin ECNL G07,Sting Austin,35232,22,5,11,6,21,0.95,27,41,-14
11,Classics Elite ECNL G07,Classics Elite Soccer Academy,35215,22,2,17,3,9,0.41,21,65,-44
12,Sting Dallas Royal ECNL G07,Sting Soccer Club,45801,22,1,16,5,8,0.36,3,51,-48
