rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,DKSC ECNL G05/04,No Club Selection,11872,22,19,0,3,60,2.73,64,6,58
2,FC Dallas ECNL G05/04,FC Dallas Youth,46785,22,16,3,3,51,2.32,60,18,42
3,Solar SC ECNL G05/04,Solar SC,11427,22,13,2,7,46,2.09,49,22,27
4,Sting Dallas Black ECNL G05/04,Sting Soccer Club,11591,22,11,7,4,37,1.68,43,30,13
5,Challenge SC ECNL G05/04,Challenge SC,12270,20,9,8,3,30,1.5,32,39,-7
6,Sting Austin ECNL G05/04,Sting Austin,11067,21,8,10,3,27,1.29,17,22,-5
7,OK Energy FC ECNL G05/04,Oklahoma Energy FC,59506,22,7,9,6,27,1.23,39,47,-8
8,Albion Hurricanes FC ECNL G05/04,Albion Hurricanes FC,12271,22,8,11,3,27,1.23,36,33,3
9,Classics Elite  ECNL G05/04,Classics Elite Soccer Academy,12269,21,5,10,6,21,1.0,30,45,-15
10,Tulsa SC ECNL G05/04,Tulsa Soccer Club,11818,22,5,13,4,19,0.86,25,48,-23
11,Dallas Texans ECNL G05/04,Dallas Texans,11592,22,2,15,5,11,0.5,21,51,-30
12,Sting Dallas Royal ECNL G05/04,Sting Soccer Club,46722,22,2,17,3,9,0.41,16,71,-55
