rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,FC Dallas ECNL G06,FC Dallas Youth,46784,22,20,1,1,61,2.77,89,14,75
2,Solar SC ECNL G06,Solar SC,11423,22,17,2,3,54,2.45,91,27,64
3,Challenge SC ECNL G06,Challenge SC,20382,22,12,8,2,38,1.73,60,45,15
4,DKSC ECNL G06,No Club Selection,19628,22,10,5,7,37,1.68,52,38,14
5,OK Energy FC ECNL G06,Oklahoma Energy FC,59505,22,11,9,2,35,1.59,49,49,0
6,Classics Elite ECNL G06,Classics Elite Soccer Academy,20383,22,10,12,0,30,1.36,37,57,-20
7,Sting Dallas Royal ECNL G06,Sting Soccer Club,46274,22,8,11,3,27,1.23,39,54,-15
8,Albion Hurricanes FC ECNL G06,Albion Hurricanes FC,20381,22,7,11,4,25,1.14,37,46,-9
9,Tulsa SC ECNL G06,No Club Selection,20413,22,7,11,4,25,1.14,23,36,-13
10,Dallas Texans ECNL G06,Dallas Texans,12268,22,7,13,2,23,1.05,39,50,-11
11,Sting Dallas Black ECNL G06,Sting Soccer Club,20412,22,5,14,3,18,0.82,17,47,-30
12,Sting Austin ECNL G06,Sting Austin,20411,22,2,19,1,7,0.32,14,84,-70
