rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL G08,Solar SC,46791,21,18,1,2,56,2.67,75,15,60
2,Sting Dallas Black ECNL G08,Sting Soccer Club,11429,22,17,3,2,53,2.41,57,14,43
3,Sting Austin ECNL G08,Sting Austin,46779,22,13,6,3,42,1.91,43,21,22
4,FC Dallas ECNL G08,FC Dallas Youth,46900,22,12,5,5,41,1.86,27,12,15
5,OK Energy FC ECNL G08,Oklahoma Energy FC,59503,22,13,7,2,41,1.86,56,33,23
6,DKSC ECNL G08,No Club Selection,45734,22,9,8,5,32,1.45,48,44,4
7,Challenge SC ECNL G08,Challenge SC,44419,21,9,10,2,29,1.38,28,37,-9
8,Dallas Texans ECNL G08,Dallas Texans,45786,22,8,9,5,29,1.32,29,31,-2
9,Albion Hurricanes FC ECNL G08,Albion Hurricanes FC,39582,22,8,9,5,29,1.32,32,32,0
10,Classics Elite ECNL G08,Classics Elite Soccer Academy,29192,22,3,16,3,12,0.55,27,66,-39
11,Sting Dallas Royal ECNL G08,Sting Soccer Club,22213,22,2,16,4,10,0.45,19,53,-34
12,Tulsa SC ECNL G08,No Club Selection,44083,22,0,22,0,0,0.0,10,93,-83
