rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,DKSC ECNL G09,DKSC,47082,22,19,2,1,58,2.64,81,12,69
2,Solar SC ECNL G09,Solar SC,59562,22,19,3,0,57,2.59,105,6,99
3,FC Dallas ECNL G09,FC Dallas Youth,58541,22,18,3,1,55,2.5,50,19,31
4,Albion Hurricanes FC ECNL G09,Albion Hurricanes FC,59340,22,12,6,4,40,1.82,52,25,27
5,Sting Dallas Black ECNL G09,Sting Soccer Club,59553,22,9,10,3,30,1.36,35,31,4
6,Challenge SC ECNL G09,Challenge SC,55881,22,8,9,5,29,1.32,31,37,-6
7,Tulsa SC ECNL G09,No Club Selection,43250,22,7,11,4,25,1.14,39,49,-10
8,OK Energy FC ECNL G09,Oklahoma Energy FC,59502,22,7,12,3,24,1.09,48,55,-7
9,Dallas Texans ECNL G09,Dallas Texans,59998,22,7,13,2,23,1.05,32,47,-15
10,Classics Elite  ECNL G09,Classics Elite Soccer Academy,40417,22,5,12,5,20,0.91,30,54,-24
11,Sting Dallas Royal ECNL G09,Sting Soccer Club,68973,22,5,14,3,18,0.82,31,73,-42
12,Sting Austin ECNL G09,Sting Austin,45246,22,0,21,1,1,0.05,6,132,-126
