rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,San Diego Surf ECNL G06/05,San Diego Surf Soccer Club,81458,23,21,2,0,63,2.74,110,20,90
2,Slammers FC HB Koge ECNL G06/05,Slammers FC HB Koge,17118,23,19,3,1,58,2.52,102,16,86
3,So Cal Blues ECNL G06/05,So Cal Blues,13344,23,12,7,4,40,1.74,40,30,10
4,Rebels SC ECNL G06/05,Rebels Soccer Club,35184,23,12,9,2,38,1.65,49,27,22
5,Arizona Arsenal ECNL G06/05,Arizona Arsenal Soccer Club,20434,23,9,14,0,27,1.17,27,73,-46
6,Pateadores ECNL G06/05,Pateadores Soccer Club,68897,23,5,13,5,20,0.87,27,50,-23
7,Phoenix Rising ECNL G06/05,Phoenix Rising FC,20445,23,2,17,4,10,0.43,23,80,-57
8,Del Mar Sharks ECNL G06/05,Legends FC - Del Mar,9899,23,1,22,0,3,0.13,9,82,-73
