rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,San Diego Surf ECNL GU17,San Diego Surf Soccer Club,45878,23,19,1,3,60,2.61,81,20,61
2,Slammers FC HB Koge ECNL GU17,Slammers FC HB Koge,10076,23,18,1,4,58,2.52,77,18,59
3,Strikers FC ECNL GU17,Strikers FC ECNL,20460,22,10,10,2,32,1.45,41,41,0
4,Rebels SC ECNL GU17,Rebels Soccer Club,2399,23,9,12,2,29,1.26,35,48,-13
5,Phoenix Rising ECNL GU17,Phoenix Rising FC,20446,23,8,13,2,26,1.13,40,60,-20
6,Del Mar Sharks ECNL GU17,Legends FC - Del Mar,16163,23,6,12,5,23,1.0,22,46,-24
7,So Cal Blues ECNL GU17,So Cal Blues,17811,23,5,11,7,22,0.96,20,35,-15
8,AZ Arsenal ECNL GU17,Arizona Arsenal Soccer Club,19165,23,3,16,4,13,0.57,23,67,-44
