rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Beach FC ECNL GU15,Beach Futbol Club,46284,24,18,4,2,56,2.33,66,23,43
2,Legends FC ECNL GU15,Legends FC (CA),28540,24,17,2,5,56,2.33,59,22,37
3,SLAMMERS FC ECNL GU15,Slammers FC,18022,24,15,4,5,50,2.08,50,26,24
4,Eagles SC ECNL GU15,No Club Selection,1153,24,12,9,3,39,1.63,58,36,22
5,LAFC So Cal ECNL GU15,LAFC So Cal,45888,24,11,9,4,37,1.54,56,27,29
6,LA Breakers FC ECNL GU15,No Club Selection,34925,24,10,8,6,36,1.5,49,51,-2
7,Utah Royals FC-AZ ECNL GU15,Utah Royals FC - AZ,56527,24,9,9,6,33,1.38,60,39,21
8,Heat FC ECNL GU15,LV Heat Surf SC ,35182,24,7,16,1,22,0.92,43,61,-18
9,Sporting California Arsenal FC ECNL GU15,Sporting California USA,21540,24,3,19,2,11,0.46,19,87,-68
