rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,LA Breakers FC ECNL GU13,LA Breakers FC,55512,24,1,17,6,9,0.38,10,67,-57,GU13,Mojave
1,So Cal Blues ECNL GU13,So Cal Blues,60035,23,19,1,3,60,2.61,87,13,74,GU13,Sonoran
1,Eagles SC ECNL GU14,Eagles SC,6122,24,17,4,3,54,2.25,64,22,42,GU14,Mojave
2,Legends FC ECNL GU14,Legends FC (CA),8362,24,14,4,6,48,2.0,66,30,36,GU14,Mojave
3,Beach FC ECNL GU14,Beach Futbol Club,60045,24,14,5,5,47,1.96,61,21,40,GU14,Mojave
4,Sporting California Arsenal FC ECNL GU14,Sporting California USA,28062,24,11,5,8,41,1.71,35,24,11,GU14,Mojave
5,SLAMMERS FC ECNL GU14,Slammers FC,9288,24,7,8,9,30,1.25,29,33,-4,GU14,Mojave
6,Utah Royals FC-AZ ECNL GU14,Utah Royals FC - AZ,56526,24,6,15,3,21,0.88,17,48,-31,GU14,Mojave
7,LAFC So Cal ECNL GU14,LAFC So Cal,45887,24,5,15,4,19,0.79,21,50,-29,GU14,Mojave
8,LA Breakers FC ECNL GU14,No Club Selection,29129,24,5,16,3,18,0.75,19,57,-38,GU14,Mojave
9,Heat FC ECNL GU14,LV Heat Surf SC ,46745,24,0,19,5,5,0.21,12,67,-55,GU14,Mojave
1,So Cal Blues ECNL GU14,So Cal Blues,29588,23,22,1,0,66,2.87,77,14,63,GU14,Sonoran
2,Slammers FC HB Koge ECNL GU14,Slammers FC HB Koge,29720,23,18,4,1,55,2.39,101,17,84,GU14,Sonoran
3,San Diego Surf ECNL GU14,San Diego Surf Soccer Club,45875,23,16,2,5,53,2.3,92,22,70,GU14,Sonoran
4,Phoenix Rising ECNL GU14,Phoenix Rising FC,45886,23,10,10,3,33,1.43,35,54,-19,GU14,Sonoran
5,Rebels SC ECNL GU14,Rebels Soccer Club,19029,23,7,13,3,24,1.04,23,54,-31,GU14,Sonoran
6,AZ Arsenal ECNL GU14,Arizona Arsenal Soccer Club,45882,23,8,15,0,24,1.04,35,72,-37,GU14,Sonoran
7,Del Mar Sharks ECNL GU14,Legends FC - Del Mar,46835,23,6,14,3,21,0.91,19,56,-37,GU14,Sonoran
8,Strikers FC ECNL GU14,Strikers FC ECNL,46747,23,2,18,3,9,0.39,14,79,-65,GU14,Sonoran
