rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Slammers FC HB Koge ECNL GU18/U19,Slammers FC HB Koge,10942,23,17,3,3,54,2.35,69,26,43
2,San Diego Surf ECNL GU18/U19,San Diego Surf Soccer Club,45879,22,13,4,5,44,2.0,57,26,31
3,Rebels SC ECNL GU18/U19,Rebels Soccer Club,29778,22,11,7,4,37,1.68,33,25,8
4,AZ Arsenal ECNL GU18/U19,Arizona Arsenal Soccer Club,20435,23,11,8,4,37,1.61,38,28,10
5,So Cal Blues ECNL GU18/U19,So Cal Blues,8953,23,10,9,4,34,1.48,37,28,9
6,Strikers FC ECNL GU18/U19,Strikers FC ECNL,7629,23,4,13,6,18,0.78,16,43,-27
7,Phoenix Rising ECNL GU18/U19,Phoenix Rising FC,20447,23,3,14,6,15,0.65,33,58,-25
8,Del Mar Sharks ECNL GU18/U19,Legends FC - Del Mar,59560,23,1,16,6,9,0.39,10,76,-66
