rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Legends FC ECNL G13,Legends FC (CA),112084,16,14,0,2,44,2.75,49,8,41
2,Slammers FC HB Koge ECNL G13,Slammers FC HB Koge,65765,16,14,1,1,43,2.69,42,3,39
3,Beach FC (CA) ECNL G13,Beach Futbol Club,54767,16,13,2,1,40,2.5,45,15,30
4,San Diego Surf ECNL G13,San Diego Surf Soccer Club,105075,16,13,3,0,39,2.44,64,14,50
5,So Cal Blues ECNL G13,So Cal Blues,99192,16,11,4,1,34,2.13,29,14,15
6,SLAMMERS FC ECNL G13,Slammers FC,100497,16,8,6,2,26,1.63,19,14,5
7,LAFC So Cal ECNL G13,LAFC So Cal,79124,16,8,7,1,25,1.56,22,19,3
8,LA Breakers FC ECNL G13,LA Breakers FC,79075,16,6,7,3,21,1.31,25,28,-3
9,Utah Royals FC-AZ ECNL G13,Utah Royals FC - AZ,90258,16,6,8,2,20,1.25,23,25,-2
10,Pateadores ECNL G13,Pateadores Soccer Club,103095,16,5,7,4,19,1.19,25,29,-4
11,Rebels SC ECNL G13,Rebels Soccer Club,90410,16,4,9,3,15,0.94,13,43,-30
12,LV Heat Surf ECNL G13,LV Heat Surf SC ,100065,16,4,9,3,15,0.94,20,26,-6
13,Sporting CA USA ECNL G13,Sporting California USA,65729,16,4,10,2,14,0.88,16,31,-15
14,Legends FC San Diego ECNL G13,Legends FC - Del Mar,99070,16,4,10,2,14,0.88,16,45,-29
15,Eagles SC ECNL G13,Eagles SC,63947,16,3,11,2,11,0.69,15,39,-24
16,Arizona Arsenal ECNL G13,Arizona Arsenal Soccer Club,96162,16,1,12,3,6,0.38,5,32,-27
17,Phoenix Rising ECNL G13,Phoenix Rising FC,99201,16,1,13,2,5,0.31,5,48,-43
