rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,San Diego Surf ECNL G09,San Diego Surf Soccer Club,61178,16,12,1,3,39,2.44,40,12,28
2,Eagles SC ECNL G09,Eagles SC,5544,16,12,3,1,37,2.31,32,18,14
3,Slammers FC HB Koge ECNL G09,Slammers FC HB Koge,54921,16,10,1,5,35,2.19,31,8,23
4,Legends FC San Diego ECNL G09 ,Legends FC - Del Mar,53810,16,8,3,5,29,1.81,29,21,8
5,Arizona Arsenal ECNL G09,Arizona Arsenal Soccer Club,58586,16,9,6,1,28,1.75,29,20,9
6,LV Heat Surf ECNL G09,LV Heat Surf SC ,50614,16,9,6,1,28,1.75,35,25,10
7,Beach FC (CA) ECNL G09,Beach Futbol Club,60046,16,7,3,6,27,1.69,33,15,18
8,Legends FC ECNL G09,Legends FC (CA),10361,16,7,4,5,26,1.63,30,25,5
9,SLAMMERS FC ECNL G09,Slammers FC,42498,16,7,6,3,24,1.5,25,22,3
10,Utah Royals FC-AZ ECNL G09,Utah Royals FC - AZ,56530,16,6,6,4,22,1.38,36,17,19
11,Pateadores ECNL G09,Pateadores Soccer Club,68893,16,6,7,3,21,1.31,22,21,1
12,LA Breakers FC ECNL G09,LA Breakers FC,55512,16,5,5,6,21,1.31,21,24,-3
13,LAFC So Cal ECNL G09,LAFC So Cal,59866,16,5,7,4,19,1.19,24,19,5
14,Phoenix Rising ECNL G09,Phoenix Rising FC,59771,16,3,11,2,11,0.69,10,30,-20
15,Sporting CA USA ECNL G09,Sporting California USA,59459,16,1,12,3,6,0.38,10,46,-36
16,So Cal Blues ECNL G09,So Cal Blues,60035,16,1,13,2,5,0.31,3,31,-28
17,Rebels SC ECNL G09,Rebels Soccer Club,26385,16,1,15,0,3,0.19,9,65,-56
