rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Slammers FC HB Koge ECNL G08/07,Slammers FC HB Koge,29720,16,13,1,2,41,2.56,60,10,50,G2008/2007,ECNL
2,Beach FC (CA) ECNL G08/07,Beach Futbol Club,60045,16,12,1,3,39,2.44,39,11,28,G2008/2007,ECNL
3,Legends FC ECNL G07/08,Legends FC (CA),8362,16,10,2,4,34,2.13,41,12,29,G2008/2007,ECNL
4,San Diego Surf ECNL G08/07,San Diego Surf Soccer Club,45875,16,10,5,1,31,1.94,38,24,14,G2008/2007,ECNL
5,Rebels SC ECNL G08/07,Rebels Soccer Club,19029,16,9,7,0,27,1.69,41,24,17,G2008/2007,ECNL
6,Utah Royals FC-AZ ECNL G07/08,Utah Royals FC - AZ,56527,16,8,5,3,27,1.69,32,24,8,G2008/2007,ECNL
7,LA Breakers FC ECNL G08/07,No Club Selection,29129,16,8,5,3,27,1.69,34,34,0,G2008/2007,ECNL
8,Phoenix Rising ECNL G08/07,Phoenix Rising FC,45886,16,8,6,2,26,1.63,34,27,7,G2008/2007,ECNL
9,SLAMMERS FC ECNL G08/07,Slammers FC,9288,16,7,6,3,24,1.5,24,24,0,G2008/2007,ECNL
10,Eagles SC ECNL G08/07,Eagles SC,6122,16,7,8,1,22,1.38,28,28,0,G2008/2007,ECNL
11,So Cal Blues ECNL G08/07,So Cal Blues,29588,16,5,7,4,19,1.19,24,23,1,G2008/2007,ECNL
12,Legends FC San Diego ECNL G08/07,Legends FC - Del Mar,46835,16,5,7,4,19,1.19,20,25,-5,G2008/2007,ECNL
13,LAFC So Cal ECNL G08/07,LAFC So Cal,45887,16,3,8,5,14,0.88,21,37,-16,G2008/2007,ECNL
14,Arizona Arsenal ECNL G08/07,Arizona Arsenal Soccer Club,45882,16,4,10,2,14,0.88,16,36,-20,G2008/2007,ECNL
15,LV Heat Surf ECNL G08/07,LV Heat Surf SC ,46745,16,1,8,7,10,0.63,14,27,-13,G2008/2007,ECNL
16,Pateadores ECNL G08/07,Pateadores Soccer Club,108296,16,3,13,0,9,0.56,14,57,-43,G2008/2007,ECNL
17,Sporting CA USA ECNL G08/07,Sporting California USA,28062,16,0,14,2,2,0.13,13,70,-57,G2008/2007,ECNL
1,San Diego Surf ECNL G09,San Diego Surf Soccer Club,61178,16,12,1,3,39,2.44,40,12,28,G2009,ECNL
2,Eagles SC ECNL G09,Eagles SC,5544,16,12,3,1,37,2.31,32,18,14,G2009,ECNL
3,Slammers FC HB Koge ECNL G09,Slammers FC HB Koge,54921,16,10,1,5,35,2.19,31,8,23,G2009,ECNL
4,Legends FC San Diego ECNL G09 ,Legends FC - Del Mar,53810,16,8,3,5,29,1.81,29,21,8,G2009,ECNL
5,Arizona Arsenal ECNL G09,Arizona Arsenal Soccer Club,58586,16,9,6,1,28,1.75,29,20,9,G2009,ECNL
6,LV Heat Surf ECNL G09,LV Heat Surf SC ,50614,16,9,6,1,28,1.75,35,25,10,G2009,ECNL
7,Beach FC (CA) ECNL G09,Beach Futbol Club,60046,16,7,3,6,27,1.69,33,15,18,G2009,ECNL
8,Legends FC ECNL G09,Legends FC (CA),10361,16,7,4,5,26,1.63,30,25,5,G2009,ECNL
9,SLAMMERS FC ECNL G09,Slammers FC,42498,16,7,6,3,24,1.5,25,22,3,G2009,ECNL
10,Utah Royals FC-AZ ECNL G09,Utah Royals FC - AZ,56530,16,6,6,4,22,1.38,36,17,19,G2009,ECNL
11,Pateadores ECNL G09,Pateadores Soccer Club,68893,16,6,7,3,21,1.31,22,21,1,G2009,ECNL
12,LA Breakers FC ECNL G09,LA Breakers FC,55512,16,5,5,6,21,1.31,21,24,-3,G2009,ECNL
13,LAFC So Cal ECNL G09,LAFC So Cal,59866,16,5,7,4,19,1.19,24,19,5,G2009,ECNL
14,Phoenix Rising ECNL G09,Phoenix Rising FC,59771,16,3,11,2,11,0.69,10,30,-20,G2009,ECNL
15,Sporting CA USA ECNL G09,Sporting California USA,59459,16,1,12,3,6,0.38,10,46,-36,G2009,ECNL
16,So Cal Blues ECNL G09,So Cal Blues,60035,16,1,13,2,5,0.31,3,31,-28,G2009,ECNL
17,Rebels SC ECNL G09,Rebels Soccer Club,26385,16,1,15,0,3,0.19,9,65,-56,G2009,ECNL
1,San Diego Surf ECNL G10,San Diego Surf Soccer Club,62104,16,13,3,0,39,2.44,51,17,34,G2010,ECNL
2,Slammers FC HB Koge ECNL G10,Slammers FC HB Koge,64905,16,12,2,2,38,2.38,48,16,32,G2010,ECNL
3,Legends FC ECNL G10,Legends FC (CA),65115,16,11,4,1,34,2.13,42,19,23,G2010,ECNL
4,LA Breakers FC ECNL G10,LA Breakers FC,68845,16,10,4,2,32,2.0,39,21,18,G2010,ECNL
5,SLAMMERS FC ECNL G10,Slammers FC,64956,16,9,4,3,30,1.88,33,20,13,G2010,ECNL
