rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Fairfax VA Union ECNL G10,Fairfax Virginia Union,96996,11,9,1,1,28,2.55,49,11,38
2,VDA ECNL G10,Virginia Development Academy,19656,11,9,1,1,28,2.55,46,8,38
3,Charlotte SA ECNL G10,Charlotte Soccer Academy,63697,11,9,1,1,28,2.55,32,7,25
4,Charlotte Independence ECNL G10 ,Charlotte Independence SC,68981,11,6,3,2,20,1.82,18,8,10
5,NC Courage ECNL G10,NC Courage Academy,69433,11,5,4,2,17,1.55,17,15,2
6,Arlington Soccer ECNL G10,Arlington Soccer Association,82198,11,5,4,2,17,1.55,12,28,-16
7,NCFC Youth ECNL G10,NCFC Youth,69196,11,2,5,4,10,0.91,17,33,-16
8,Wilmington Hammerheads ECNL G10,Wilmington Hammerheads,69446,11,2,5,4,10,0.91,14,32,-18
9,NVA ECNL G10,Northern Virginia Alliance,69367,11,2,6,3,9,0.82,15,27,-12
10,Beach FC (VA) ECNL G10,No Club Selection,67859,11,2,6,3,9,0.82,11,24,-13
11,Richmond United ECNL G10,Richmond United,62158,11,2,8,1,7,0.64,14,25,-11
12,NC Fusion ECNL G10,NC Fusion,69224,11,1,10,0,3,0.27,12,39,-27
