rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Arlington Soccer ECNL G11,Arlington Soccer Association,82199,22,17,3,2,53,2.41,86,19,67
2,NC Courage ECNL G11,NC Courage Academy,81852,22,17,3,2,53,2.41,82,28,54
3,Richmond United ECNL G11,Richmond United,81703,22,17,4,1,52,2.36,60,20,40
4,Charlotte SA ECNL G11,Charlotte Soccer Academy,82098,22,16,4,2,50,2.27,63,18,45
5,VDA ECNL G11,Virginia Development Academy,81266,22,14,6,2,44,2.0,34,28,6
6,NVA ECNL G11,Northern Virginia Alliance,57280,22,11,8,3,36,1.64,37,34,3
7,Fairfax Virginia Union ECNL G11,Fairfax Virginia Union,96997,22,8,13,1,25,1.14,46,46,0
8,Beach FC (VA) ECNL G11,No Club Selection,67862,22,7,13,2,23,1.05,37,50,-13
9,NC Fusion ECNL G11,NC Fusion,82112,22,7,14,1,22,1.0,25,55,-30
10,Charlotte Independence ECNL G11,Charlotte Independence SC,81530,22,3,16,3,12,0.55,18,65,-47
11,NCFC Youth ECNL G11,NCFC Youth,80895,22,1,17,4,7,0.32,9,73,-64
12,Wilmington Hammerheads ECNL G11,Wilmington Hammerheads,78045,22,1,18,3,6,0.27,23,84,-61
