rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,VDA ECNL G09,Virginia Development Academy,59474,11,9,0,2,29,2.64,37,8,29
2,Richmond United ECNL G09,Richmond United,59426,11,9,1,1,28,2.55,29,10,19
3,Charlotte SA ECNL G09,Charlotte Soccer Academy,59885,11,7,2,2,23,2.09,20,10,10
4,Arlington Soccer ECNL G09,Arlington Soccer Association,82196,11,6,3,2,20,1.82,20,14,6
5,Fairfax Virginia Union ECNL G09,Fairfax Virginia Union,96995,11,6,4,1,19,1.73,25,17,8
6,Charlotte Independence ECNL G09,Charlotte Independence SC,59088,11,4,4,3,15,1.36,15,15,0
7,NC Courage ECNL G09,NC Courage Academy,60108,11,4,5,2,14,1.27,19,22,-3
8,NVA ECNL G09,Northern Virginia Alliance,54842,11,4,6,1,13,1.18,11,19,-8
9,Beach FC (VA) ECNL G09,No Club Selection,68414,11,3,6,2,11,1.0,6,16,-10
10,NC Fusion ECNL G09,NC Fusion,50566,11,2,6,3,9,0.82,11,23,-12
11,Wilmington Hammerheads ECNL G09,Wilmington Hammerheads,59888,11,1,9,1,4,0.36,9,22,-13
12,NCFC Youth ECNL G09,NCFC Youth,59930,11,0,9,2,2,0.18,2,28,-26
