rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,VDA ECNL G07/06,Virginia Development Academy,35271,11,8,0,3,27,2.45,38,7,31
2,Fairfax Virginia Union ECNL G07/06,Fairfax Virginia Union,96993,11,8,2,1,25,2.27,33,10,23
3,Charlotte SA ECNL G07/06,Charlotte Soccer Academy,44722,11,8,2,1,25,2.27,28,7,21
4,NC Courage ECNL G07/06,NC Courage Academy,44729,11,6,2,3,21,1.91,20,11,9
5,Arlington Soccer ECNL G07/06,Arlington Soccer Association,82190,11,6,2,3,21,1.91,22,19,3
6,Charlotte Independence ECNL G07/06,Charlotte Independence SC,35286,11,5,5,1,16,1.45,20,21,-1
7,Wilmington Hammerheads ECNL G07/06,No Club Selection,35272,11,5,5,1,16,1.45,33,30,3
8,Beach FC (VA) ECNL G07/06,Beach FC,67842,11,4,5,2,14,1.27,11,15,-4
9,NVA ECNL G07/06,Northern Virginia Alliance,35287,11,4,6,1,13,1.18,17,22,-5
10,Richmond United ECNL G07/06,Richmond United,22314,11,2,8,1,7,0.64,18,29,-11
11,NC Fusion ECNL G07/06,NC Fusion,35269,11,0,9,2,2,0.18,8,46,-38
12,NCFC Youth ECNL G07/06,NCFC Youth,35268,11,0,10,1,1,0.09,13,44,-31
