rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,NC Courage ECNL G08,NC Courage Academy,44728,11,10,0,1,31,2.82,47,5,42
2,VDA ECNL G08,Virginia Development Academy,46823,11,8,1,2,26,2.36,37,6,31
3,Richmond United ECNL G08,Richmond United,46822,11,7,0,4,25,2.27,17,6,11
4,Charlotte SA ECNL G08,Charlotte Soccer Academy,44721,11,7,3,1,22,2.0,31,23,8
5,NVA ECNL G08,Northern Virginia Alliance,46824,11,7,3,1,22,2.0,22,22,0
6,Charlotte Independence ECNL G08,Charlotte Independence SC,28376,11,4,4,3,15,1.36,25,26,-1
7,Wilmington Hammerheads ECNL G08,Wilmington Hammerheads,46818,11,4,4,3,15,1.36,15,17,-2
8,Arlington Soccer ECNL G08,Arlington Soccer Association,82194,11,4,5,2,14,1.27,14,19,-5
9,Fairfax Virginia Union ECNL G08,Fairfax Virginia Union,96994,11,2,8,1,7,0.64,12,29,-17
10,NC Fusion ECNL G08,NC Fusion,13888,11,2,9,0,6,0.55,12,31,-19
11,Beach FC (VA) ECNL G08,No Club Selection,67846,11,0,8,3,3,0.27,7,25,-18
12,NCFC Youth ECNL G08,NCFC Youth,45785,11,0,10,1,1,0.09,6,36,-30
