rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,MVLA ECNL G10,MVLA,33633,18,18,0,0,54,3.0,122,3,119
2,Mustang SC ECNL G10,Mustang Soccer,18712,18,15,3,0,45,2.5,58,16,42
3,San Juan SC ECNL G10,San Juan Soccer Club,32669,18,13,4,1,40,2.22,71,11,60
4,De Anza Force ECNL G10,Force,62271,18,13,4,1,40,2.22,50,20,30
5,Marin FC ECNL G10,Marin FC,62042,18,5,9,4,19,1.06,19,45,-26
6,Santa Rosa United ECNL G10,Santa Rosa United Soccer,68674,18,5,10,3,18,1.0,13,44,-31
7,Placer United ECNL G10,Placer United Soccer Club,68832,18,5,10,3,18,1.0,16,51,-35
8,Bay Area Surf ECNL G10,Bay Area Surf,69036,18,3,10,5,14,0.78,11,46,-35
9,Pleasanton RAGE ECNL G10,Pleasanton Rage,44309,18,2,11,5,11,0.61,8,57,-49
10,Davis Legacy ECNL G10,Davis Legacy Soccer Club,69625,18,0,18,0,0,0.0,6,81,-75
