rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,MVLA ECNL G09,MVLA,33438,18,15,1,2,47,2.61,69,11,58
2,San Juan SC ECNL G09,San Juan Soccer Club,31488,18,11,3,4,37,2.06,36,18,18
3,Bay Area Surf ECNL G09,Bay Area Surf,69035,18,11,5,2,35,1.94,43,22,21
4,Davis Legacy ECNL G09,Davis Legacy Soccer Club,60301,18,9,7,2,29,1.61,38,29,9
5,Santa Rosa United ECNL G09,Santa Rosa United Soccer,49621,18,7,8,3,24,1.33,25,20,5
6,Marin FC ECNL G09,Marin FC,56277,18,6,7,5,23,1.28,23,27,-4
7,De Anza Force ECNL G09,Force,60044,18,6,7,5,23,1.28,24,31,-7
8,Placer United ECNL G09,Placer United Soccer Club,68831,18,4,12,2,14,0.78,23,48,-25
9,Mustang SC ECNL G09,Mustang Soccer,31328,18,3,12,3,12,0.67,9,40,-31
10,Pleasanton RAGE ECNL G09,Pleasanton Rage,39256,18,2,12,4,10,0.56,10,54,-44
