rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Match Fit Academy ECNL GU13,Match Fit Surf,46947,16,15,0,1,46,2.88,69,7,62,GU13,Flight 1
2,PDA Blue ECNL GU13,PDA Blue (North),13678,16,13,2,1,40,2.5,58,9,49,GU13,Flight 1
3,Pipeline SC ECNL GU13,Pipeline SC,46948,16,8,6,2,26,1.63,37,19,18,GU13,Flight 1
4,Penn Fusion SA ECNL GU13,Penn Fusion Soccer Academy,46945,16,8,7,1,25,1.56,35,25,10,GU13,Flight 1
5,Bethesda SC ECNL GU13,Bethesda SC,46940,16,7,6,3,24,1.5,27,19,8,GU13,Flight 1
6,FC DELCO ECNL GU13,FC DELCO,46942,16,7,9,0,21,1.31,23,37,-14,GU13,Flight 1
7,Maryland United FC ECNL GU13,Maryland United Football Club,46944,16,3,10,3,12,0.75,15,41,-26,GU13,Flight 1
8,PDA South ECNL GU13,PDA South,11436,16,2,12,2,8,0.5,16,67,-51,GU13,Flight 1
9,FC Bucks ECNL GU13,HEX FC,46941,16,2,13,1,7,0.44,11,67,-56,GU13,Flight 1
1,PDA Blue ECNL GU14,PDA Blue (North),3701,16,15,1,0,45,2.81,58,7,51,GU14,Flight 1
2,Penn Fusion SA ECNL GU14,Penn Fusion Soccer Academy,44737,16,13,2,1,40,2.5,48,14,34,GU14,Flight 1
3,Pipeline SC ECNL GU14,Pipeline SC,45827,16,10,6,0,30,1.88,31,25,6,GU14,Flight 1
4,FC DELCO ECNL GU14,FC DELCO,36383,16,7,7,2,23,1.44,18,17,1,GU14,Flight 1
5,Bethesda SC ECNL GU14,Bethesda SC,46815,16,7,8,1,22,1.38,24,31,-7,GU14,Flight 1
6,Maryland United FC ECNL GU14,Maryland United Football Club,36637,16,6,9,1,19,1.19,23,36,-13,GU14,Flight 1
7,FC Bucks ECNL GU14,HEX FC,26917,16,5,9,2,17,1.06,20,35,-15,GU14,Flight 1
8,Match Fit Academy ECNL GU14,Match Fit Surf,34505,16,3,12,1,10,0.63,15,32,-17,GU14,Flight 1
9,PDA South ECNL GU14,PDA South,1815,16,2,14,0,6,0.38,12,52,-40,GU14,Flight 1
1,PDA Blue ECNL GU15,PDA Blue (North),1967,16,14,0,2,44,2.75,49,6,43,GU15,Flight 1
2,Match Fit Academy ECNL GU15,Match Fit Surf,34504,16,11,4,1,34,2.13,31,10,21,GU15,Flight 1
3,Penn Fusion SA ECNL GU15,No Club Selection,44736,16,9,4,3,30,1.88,33,18,15,GU15,Flight 1
4,Maryland United FC ECNL GU15,No Club Selection,35283,16,8,4,4,28,1.75,21,10,11,GU15,Flight 1
5,FC DELCO ECNL GU15,FC DELCO,12575,16,7,7,2,23,1.44,25,25,0,GU15,Flight 1
6,PDA South ECNL GU15,PDA South,1840,16,4,6,6,18,1.13,18,27,-9,GU15,Flight 1
7,Bethesda SC ECNL GU15,Bethesda SC,35273,16,3,11,2,11,0.69,17,30,-13,GU15,Flight 1
8,FC Bucks ECNL GU15,HEX FC,33878,16,2,11,3,9,0.56,15,43,-28,GU15,Flight 1
9,Pipeline SC ECNL GU15,Pipeline SC,45828,16,1,12,3,6,0.38,10,50,-40,GU15,Flight 1
1,PDA Blue ECNL GU16,PDA Blue (North),1822,16,12,0,4,40,2.5,47,14,33,GU16,Flight 1
2,Bethesda SC ECNL GU16,Bethesda SC,20341,16,11,1,4,37,2.31,34,13,21,GU16,Flight 1
3,Penn Fusion SA ECNL GU16,Penn Fusion Soccer Academy,44735,16,9,4,3,30,1.88,29,12,17,GU16,Flight 1
4,Maryland United FC ECNL GU16,No Club Selection,20346,16,8,6,2,26,1.63,22,22,0,GU16,Flight 1
5,FC Bucks ECNL GU16,HEX FC,20344,16,6,5,5,23,1.44,24,20,4,GU16,Flight 1
6,FC DELCO ECNL GU16,FC DELCO,12576,16,5,7,4,19,1.19,11,18,-7,GU16,Flight 1
7,PDA South ECNL GU16,PDA South,1841,16,2,10,4,10,0.63,22,39,-17,GU16,Flight 1
8,Match Fit Academy ECNL GU16,Match Fit Surf,20347,16,2,10,4,10,0.63,17,35,-18,GU16,Flight 1
9,Pipeline SC ECNL GU16,Pipeline SC,45829,16,2,14,0,6,0.38,8,41,-33,GU16,Flight 1
1,PDA Blue ECNL GU17,PDA Blue (North),1792,16,14,0,2,44,2.75,64,11,53,GU17,Flight 1
2,Penn Fusion SA ECNL GU17,Penn Fusion Soccer Academy,44734,16,10,3,3,33,2.06,33,19,14,GU17,Flight 1
3,Pipeline SC ECNL GU17,No Club Selection,45830,16,9,3,4,31,1.94,25,14,11,GU17,Flight 1
4,FC Bucks ECNL GU17,HEX FC,11974,16,7,5,4,25,1.56,26,26,0,GU17,Flight 1
5,Maryland United FC ECNL GU17,No Club Selection,12265,16,7,5,4,25,1.56,24,24,0,GU17,Flight 1
6,Match Fit Academy ECNL GU17,Match Fit Surf,12263,16,4,7,5,17,1.06,19,21,-2,GU17,Flight 1
7,Bethesda SC ECNL GU17,Bethesda SC,11883,16,3,9,4,13,0.81,17,38,-21,GU17,Flight 1
8,PDA South ECNL GU17,PDA South,1814,16,2,10,4,10,0.63,16,41,-25,GU17,Flight 1
9,FC DELCO ECNL GU17,FC DELCO,11808,16,0,14,2,2,0.13,9,39,-30,GU17,Flight 1
1,PDA Blue ECNL GU18/U19,PDA Blue (North),19877,13,12,0,1,37,2.85,43,6,37,GU18/U19,Flight 1
2,Match Fit Academy ECNL GU18/19,Match Fit Surf,2166,14,10,3,1,31,2.21,26,15,11,GU18/U19,Flight 1
3,Penn Fusion SA ECNL GU18/19,Penn Fusion Soccer Academy,7104,16,10,3,3,33,2.06,38,23,15,GU18/U19,Flight 1
4,FC Bucks ECNL GU18/U19,HEX FC,11574,15,4,7,4,16,1.07,18,27,-9,GU18/U19,Flight 1
5,PDA South ECNL GU18/19,PDA South,1966,15,4,7,4,16,1.07,21,27,-6,GU18/U19,Flight 1
6,Bethesda SC ECNL GU18/U19,Bethesda SC,1367,16,4,8,4,16,1.0,19,24,-5,GU18/U19,Flight 1
7,Maryland United FC ECNL GU18/19,Maryland United Football Club,7521,16,3,6,7,16,1.0,14,25,-11,GU18/U19,Flight 1
8,Pipeline SC ECNL GU18/U19,No Club Selection,45831,15,2,8,5,11,0.73,16,27,-11,GU18/U19,Flight 1
9,FC DELCO ECNL GU18/19,FC DELCO,7224,16,2,9,5,11,0.69,12,33,-21,GU18/U19,Flight 1
