rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,PDA Blue ECNL GU14,PDA Blue (North),3701,16,15,1,0,45,2.81,58,7,51
2,Penn Fusion SA ECNL GU14,Penn Fusion Soccer Academy,44737,16,13,2,1,40,2.5,48,14,34
3,Pipeline SC ECNL GU14,Pipeline SC,45827,16,10,6,0,30,1.88,31,25,6
4,FC DELCO ECNL GU14,FC DELCO,36383,16,7,7,2,23,1.44,18,17,1
5,Bethesda SC ECNL GU14,Bethesda SC,46815,16,7,8,1,22,1.38,24,31,-7
6,Maryland United FC ECNL GU14,Maryland United Football Club,36637,16,6,9,1,19,1.19,23,36,-13
7,FC Bucks ECNL GU14,HEX FC,26917,16,5,9,2,17,1.06,20,35,-15
8,Match Fit Academy ECNL GU14,Match Fit Surf,34505,16,3,12,1,10,0.63,15,32,-17
9,PDA South ECNL GU14,PDA South,1815,16,2,14,0,6,0.38,12,52,-40
