rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
17,Beach Futbol Club (CA) ECNL G2011/12,Beach Futbol Club,131923,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
1,Pateadores Soccer Club ECNL G2010/11,Pateadores Soccer Club,130974,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
2,Utah Royals FC-AZ ECNL G2010/11,Utah Royals FC - AZ,77350,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
3,Sporting California USA ECNL G2010/11,Sporting California USA,134089,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
4,So Cal Blues ECNL G2010/11,So Cal Blues,135892,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
5,Slammers FC HB Koge ECNL G2010/11,Slammers FC,133598,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
6,SLAMMERS FC ECNL G2010/11,Slammers FC,61426,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
7,San Diego Surf ECNL G2010/11,San Diego Surf Soccer Club,132460,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
8,Rebels SC ECNL G2010/11,Rebels Soccer Club,81798,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
9,Phoenix Rising FC ECNL G2010/11,Phoenix Rising FC,62249,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
10,Arizona Arsenal ECNL G2010/11,Arizona Arsenal Soccer Club,134383,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
11,LV Heat Surf ECNL G2010/11,LV Heat Surf SC ,48247,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
12,Legends FC Del Mar ECNL G2010/11,Legends FC - Del Mar,131715,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
13,Legends FC (CA) ECNL G2010/11,Legends FC (CA),133024,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
14,LAFC So Cal ECNL G2010/11,LAFC So Cal,133711,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
