rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Pateadores Soccer Club ECNL G2011/12,Pateadores Soccer Club,130972,0,0,0,0,0,0.0,0,0,0
2,Utah Royals FC-AZ ECNL G2011/12,Utah Royals FC - AZ,85099,0,0,0,0,0,0.0,0,0,0
3,Sporting California USA ECNL G2011/12,Sporting California USA,134084,0,0,0,0,0,0.0,0,0,0
4,So Cal Blues ECNL G2011/12,So Cal Blues,135889,0,0,0,0,0,0.0,0,0,0
5,Slammers FC HB Koge ECNL G2011/12,Slammers FC,133597,0,0,0,0,0,0.0,0,0,0
6,SLAMMERS FC ECNL G2011/12,Slammers FC,89212,0,0,0,0,0,0.0,0,0,0
7,San Diego Surf ECNL G2011/12,San Diego Surf Soccer Club,132461,0,0,0,0,0,0.0,0,0,0
8,Rebels SC ECNL G2011/12,Rebels Soccer Club,94955,0,0,0,0,0,0.0,0,0,0
9,Phoenix Rising FC ECNL G2011/12,Phoenix Rising FC,81125,0,0,0,0,0,0.0,0,0,0
10,Arizona Arsenal ECNL G2011/12,Arizona Arsenal Soccer Club,134384,0,0,0,0,0,0.0,0,0,0
11,LV Heat Surf ECNL G2011/12,LV Heat Surf SC ,84197,0,0,0,0,0,0.0,0,0,0
12,Legends FC Del Mar ECNL G2011/12,Legends FC - Del Mar,131712,0,0,0,0,0,0.0,0,0,0
13,Legends FC (CA) ECNL G2011/12,Legends FC (CA),133027,0,0,0,0,0,0.0,0,0,0
14,LAFC So Cal ECNL G2011/12,LAFC So Cal,133713,0,0,0,0,0,0.0,0,0,0
15,LA Breakers FC ECNL G2011/12,LA Breakers FC,84686,0,0,0,0,0,0.0,0,0,0
16,Eagles SC ECNL G2011/12,Eagles SC,25917,0,0,0,0,0,0.0,0,0,0
17,Beach Futbol Club (CA) ECNL G2011/12,Beach Futbol Club,131923,0,0,0,0,0,0.0,0,0,0
