rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Pateadores Soccer Club ECNL G2012/13,Pateadores Soccer Club,126748,0,0,0,0,0,0.0,0,0,0
2,Utah Royals FC-AZ ECNL G2012/13,Utah Royals FC - AZ,90258,0,0,0,0,0,0.0,0,0,0
3,Sporting California USA ECNL G2012/13,Sporting California USA,134082,0,0,0,0,0,0.0,0,0,0
4,So Cal Blues ECNL G2012/13,So Cal Blues,135886,0,0,0,0,0,0.0,0,0,0
5,Slammers FC HB Koge ECNL G2012/13,Slammers FC,133596,0,0,0,0,0,0.0,0,0,0
6,SLAMMERS FC ECNL G2012/13,Slammers FC,100497,0,0,0,0,0,0.0,0,0,0
7,San Diego Surf ECNL G2012/13,San Diego Surf Soccer Club,132462,0,0,0,0,0,0.0,0,0,0
8,Rebels SC ECNL G2012/13,Rebels Soccer Club,90410,0,0,0,0,0,0.0,0,0,0
9,Phoenix Rising FC ECNL G2012/13,Phoenix Rising FC,99201,0,0,0,0,0,0.0,0,0,0
10,Arizona Arsenal ECNL G2012/13,Arizona Arsenal Soccer Club,134386,0,0,0,0,0,0.0,0,0,0
11,LV Heat Surf ECNL G2012/13,LV Heat Surf SC ,100065,0,0,0,0,0,0.0,0,0,0
12,Legends FC Del Mar ECNL G2012/13,Legends FC - Del Mar,131709,0,0,0,0,0,0.0,0,0,0
13,Legends FC (CA) ECNL G2012/13,Legends FC (CA),133029,0,0,0,0,0,0.0,0,0,0
14,LAFC So Cal ECNL G2012/13,LAFC So Cal,133714,0,0,0,0,0,0.0,0,0,0
15,LA Breakers FC ECNL G2012/13,LA Breakers FC,79075,0,0,0,0,0,0.0,0,0,0
16,Eagles SC ECNL G2012/13,Eagles SC,64010,0,0,0,0,0,0.0,0,0,0
17,Beach Futbol Club (CA) ECNL G2012/13,Beach Futbol Club,131924,0,0,0,0,0,0.0,0,0,0
