rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Charlotte SA ECNL G05/04,Charlotte Soccer Academy,44724,12,8,0,4,28,2.33,44,9,35,G2005/2004,ECNL
2,NC Courage ECNL G05/04,NC Courage Academy,44731,12,8,1,3,27,2.25,49,13,36,G2005/2004,ECNL
3,VA Union ECNL G05/04,McLean Youth Soccer,11505,12,8,1,3,27,2.25,44,12,32,G2005/2004,ECNL
4,Richmond United ECNL G05/04,Richmond United,11507,12,8,1,3,27,2.25,28,8,20,G2005/2004,ECNL
5,VDA ECNL G05/04,Virginia Development Academy,20319,12,6,4,2,20,1.67,36,27,9,G2005/2004,ECNL
6,NC Fusion ECNL G05/04,NC Fusion,13554,12,6,5,1,19,1.58,32,24,8,G2005/2004,ECNL
7,Wilmington Hammerheads ECNL G05/04,Wilmington Hammerheads,19667,12,4,3,5,17,1.42,22,26,-4,G2005/2004,ECNL
8,Charlotte Independence ECNL G05/04,Charlotte Independence SC,11116,12,5,6,1,16,1.33,18,26,-8,G2005/2004,ECNL
9,Fairfax BRAVE SC ECNL G05/04,McLean Youth Soccer,11501,12,2,7,3,9,0.75,16,42,-26,G2005/2004,ECNL
10,Arlington Soccer ECNL G05/04,Arlington Soccer Association,59920,12,1,6,5,8,0.67,11,34,-23,G2005/2004,ECNL
11,NCFC Youth ECNL G05/04,NCFC Youth,11511,12,1,8,3,6,0.5,11,34,-23,G2005/2004,ECNL
12,Loudoun Soccer ECNL G05/04,Loudoun Soccer,19776,12,1,8,3,6,0.5,7,34,-27,G2005/2004,ECNL
13,Beach FC (VA) ECNL G05/04,Beach FC,67767,12,0,8,4,4,0.33,16,45,-29,G2005/2004,ECNL
1,VDA ECNL G06,Virginia Development Academy,14649,12,12,0,0,36,3.0,48,9,39,G2006,ECNL
2,NC Courage ECNL G06,NC Courage Academy,44730,12,9,1,2,29,2.42,36,12,24,G2006,ECNL
3,Charlotte SA ECNL G06,Charlotte Soccer Academy,44723,12,8,3,1,25,2.08,37,16,21,G2006,ECNL
4,NC Fusion ECNL G06,NC Fusion,20316,12,7,3,2,23,1.92,27,14,13,G2006,ECNL
5,VA Union ECNL G06,Fairfax Virginia Union,20314,12,6,3,3,21,1.75,28,15,13,G2006,ECNL
6,Richmond United ECNL G06,Richmond United,20317,12,5,5,2,17,1.42,21,20,1,G2006,ECNL
7,Loudoun Soccer ECNL G06,Northern Virginia Alliance,19775,12,4,5,3,15,1.25,14,27,-13,G2006,ECNL
8,Arlington Soccer ECNL G06,Arlington Soccer Association,59919,12,5,7,0,15,1.25,19,21,-2,G2006,ECNL
9,Fairfax BRAVE SC ECNL G06,Fairfax Virginia Union,13009,12,3,6,3,12,1.0,14,20,-6,G2006,ECNL
10,Wilmington Hammerheads ECNL G06,No Club Selection,19665,12,2,7,3,9,0.75,15,34,-19,G2006,ECNL
11,Beach FC (VA) ECNL G06,Beach FC,67771,12,2,8,2,8,0.67,15,38,-23,G2006,ECNL
12,NCFC Youth ECNL G06,NCFC Youth,20315,12,2,9,1,7,0.58,11,35,-24,G2006,ECNL
13,Charlotte Independence ECNL G06,Charlotte Independence SC,20312,12,1,9,2,5,0.42,9,33,-24,G2006,ECNL
1,Wilmington Hammerheads ECNL G07,No Club Selection,35272,12,10,1,1,31,2.58,34,10,24,G2007,ECNL
2,NC Courage ECNL G07,NC Courage Academy,44729,12,10,1,1,31,2.58,30,6,24,G2007,ECNL
3,Loudoun Soccer ECNL G07,Northern Virginia Alliance,35287,12,7,2,3,24,2.0,27,8,19,G2007,ECNL
4,VA Union ECNL G07,Fairfax Virginia Union,25892,12,7,4,1,22,1.83,20,11,9,G2007,ECNL
5,Charlotte SA ECNL G07,Charlotte Soccer Academy,44722,12,6,4,2,20,1.67,21,6,15,G2007,ECNL
6,NC Fusion ECNL G07,NC Fusion,35269,12,6,4,2,20,1.67,17,16,1,G2007,ECNL
7,Arlington Soccer ECNL G07,Arlington Soccer Association,59917,12,5,6,1,16,1.33,9,21,-12,G2007,ECNL
8,VDA ECNL G07,Virginia Development Academy,35271,12,3,4,5,14,1.17,14,20,-6,G2007,ECNL
9,Charlotte Independence ECNL G07,Charlotte Independence SC,35286,12,2,5,5,11,0.92,8,16,-8,G2007,ECNL
10,Richmond United ECNL G07,Richmond United,22314,12,2,6,4,10,0.83,13,22,-9,G2007,ECNL
11,NCFC Youth ECNL G07,NCFC Youth,35268,12,1,7,4,7,0.58,7,25,-18,G2007,ECNL
12,Fairfax BRAVE SC ECNL G07,Fairfax Virginia Union,11957,12,0,7,5,5,0.42,7,34,-27,G2007,ECNL
13,Beach FC (VA) ECNL G07,Beach FC,67842,12,0,8,4,4,0.33,4,16,-12,G2007,ECNL
1,Wilmington Hammerheads ECNL G08,Wilmington Hammerheads,46818,12,8,2,2,26,2.17,25,12,13,G2008,ECNL
2,Arlington Soccer ECNL G08,Arlington Soccer Association,59916,12,8,2,2,26,2.17,34,17,17,G2008,ECNL
3,Loudoun Soccer ECNL G08,Northern Virginia Alliance,46824,12,8,3,1,25,2.08,19,13,6,G2008,ECNL
4,Richmond United ECNL G08,Richmond United,46822,12,6,2,4,22,1.83,23,12,11,G2008,ECNL
5,NC Courage ECNL G08,NC Courage Academy,44728,12,6,4,2,20,1.67,27,17,10,G2008,ECNL
6,VDA ECNL G08,Virginia Development Academy,46823,12,6,4,2,20,1.67,34,13,21,G2008,ECNL
7,Charlotte SA ECNL G08,Charlotte Soccer Academy,44721,12,5,6,1,16,1.33,21,18,3,G2008,ECNL
8,Fairfax BRAVE SC ECNL G08,Fairfax Virginia Union,11956,12,5,6,1,16,1.33,24,23,1,G2008,ECNL
9,Beach FC (VA) ECNL G08,No Club Selection,67846,12,4,7,1,13,1.08,13,37,-24,G2008,ECNL
10,Charlotte Independence ECNL G08,Charlotte Independence SC,28376,12,3,7,2,11,0.92,10,15,-5,G2008,ECNL
11,VA Union ECNL G08,Fairfax Virginia Union,46827,12,2,5,5,11,0.92,8,20,-12,G2008,ECNL
12,NC Fusion ECNL G08,NC Fusion,13888,12,2,8,2,8,0.67,15,38,-23,G2008,ECNL
13,NCFC Youth ECNL G08,NCFC Youth,45785,12,1,8,3,6,0.5,5,23,-18,G2008,ECNL
1,Richmond United ECNL G09,Richmond United,59426,24,21,1,2,65,2.71,84,22,62,G2009,ECNL
2,VDA ECNL G09,Virginia Development Academy,59474,24,19,4,1,58,2.42,65,20,45,G2009,ECNL
3,Loudoun Soccer ECNL G09,Northern Virginia Alliance,54842,24,18,5,1,55,2.29,58,14,44,G2009,ECNL
4,Charlotte SA ECNL G09,Charlotte Soccer Academy,59885,24,15,7,2,47,1.96,66,47,19,G2009,ECNL
5,Arlington Soccer ECNL G09,Arlington Soccer Association,59915,24,14,7,3,45,1.88,48,27,21,G2009,ECNL
6,NC Courage ECNL G09,NC Courage Academy,60108,24,11,6,7,40,1.67,34,20,14,G2009,ECNL
7,Charlotte Independence ECNL G09,Charlotte Independence SC,59088,24,9,12,3,30,1.25,36,48,-12,G2009,ECNL
8,VA Union ECNL G09,Fairfax Virginia Union,60092,24,8,15,1,25,1.04,37,51,-14,G2009,ECNL
9,Beach FC (VA) ECNL G09,No Club Selection,68414,24,7,13,4,25,1.04,34,51,-17,G2009,ECNL
10,Wilmington Hammerheads ECNL G09,Wilmington Hammerheads,59888,24,4,14,6,18,0.75,21,48,-27,G2009,ECNL
11,Fairfax BRAVE SC ECNL G09,Fairfax Virginia Union,11955,24,5,16,3,18,0.75,24,68,-44,G2009,ECNL
12,NCFC Youth ECNL G09,NCFC Youth,59930,24,2,16,6,12,0.5,16,43,-27,G2009,ECNL
13,NC Fusion ECNL G09,NC Fusion,50566,24,1,18,5,8,0.33,19,83,-64,G2009,ECNL
1,Charlotte SA ECNL G10,Charlotte Soccer Academy,63697,24,22,1,1,67,2.79,86,14,72,G2010,ECNL
2,VA Union ECNL G10,Fairfax Virginia Union,69871,24,19,1,4,61,2.54,75,20,55,G2010,ECNL
3,VDA ECNL G10,Virginia Development Academy,19656,24,16,5,3,51,2.13,72,21,51,G2010,ECNL
4,Arlington Soccer ECNL G10,Arlington Soccer Association,60688,24,15,7,2,47,1.96,30,22,8,G2010,ECNL
