rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Charlotte SA ECNL G10,Charlotte Soccer Academy,63697,24,22,1,1,67,2.79,86,14,72
2,VA Union ECNL G10,Fairfax Virginia Union,69871,24,19,1,4,61,2.54,75,20,55
3,VDA ECNL G10,Virginia Development Academy,19656,24,16,5,3,51,2.13,72,21,51
4,Arlington Soccer ECNL G10,Arlington Soccer Association,60688,24,15,7,2,47,1.96,30,22,8
5,Fairfax BRAVE SC ECNL G10,Fairfax Virginia Union,68366,24,15,7,2,47,1.96,71,26,45
6,Loudoun Soccer ECNL G10,Northern Virginia Alliance,69367,24,14,9,1,43,1.79,49,29,20
7,Richmond United ECNL G10,Richmond United,62158,24,11,9,4,37,1.54,32,33,-1
8,Charlotte Independence ECNL G10 ,Charlotte Independence SC,68981,24,8,13,3,27,1.13,35,41,-6
9,NC Fusion - ECNL G10,NC Fusion,69224,24,7,15,2,23,0.96,21,57,-36
10,NC Courage ECNL G10,NC Courage Academy,69433,24,5,16,3,18,0.75,35,62,-27
11,NCFC Youth ECNL G10,NCFC Youth,69196,24,4,18,2,14,0.58,19,69,-50
12,Wilmington Hammerheads ECNL G10,Wilmington Hammerheads,69446,24,3,18,3,12,0.5,23,79,-56
13,Beach FC (VA) ECNL G10,No Club Selection,67859,24,2,22,0,6,0.25,6,81,-75
