rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Wilmington Hammerheads ECNL G08,Wilmington Hammerheads,46818,12,8,2,2,26,2.17,25,12,13
2,Arlington Soccer ECNL G08,Arlington Soccer Association,59916,12,8,2,2,26,2.17,34,17,17
3,Loudoun Soccer ECNL G08,Northern Virginia Alliance,46824,12,8,3,1,25,2.08,19,13,6
4,Richmond United ECNL G08,Richmond United,46822,12,6,2,4,22,1.83,23,12,11
5,NC Courage ECNL G08,NC Courage Academy,44728,12,6,4,2,20,1.67,27,17,10
6,VDA ECNL G08,Virginia Development Academy,46823,12,6,4,2,20,1.67,34,13,21
7,Charlotte SA ECNL G08,Charlotte Soccer Academy,44721,12,5,6,1,16,1.33,21,18,3
8,Fairfax BRAVE SC ECNL G08,Fairfax Virginia Union,11956,12,5,6,1,16,1.33,24,23,1
9,Beach FC (VA) ECNL G08,No Club Selection,67846,12,4,7,1,13,1.08,13,37,-24
10,Charlotte Independence ECNL G08,Charlotte Independence SC,28376,12,3,7,2,11,0.92,10,15,-5
11,VA Union ECNL G08,Fairfax Virginia Union,46827,12,2,5,5,11,0.92,8,20,-12
12,NC Fusion ECNL G08,NC Fusion,13888,12,2,8,2,8,0.67,15,38,-23
13,NCFC Youth ECNL G08,NCFC Youth,45785,12,1,8,3,6,0.5,5,23,-18
