rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,VDA ECNL G06,Virginia Development Academy,14649,12,12,0,0,36,3.0,48,9,39
2,NC Courage ECNL G06,NC Courage Academy,44730,12,9,1,2,29,2.42,36,12,24
3,Charlotte SA ECNL G06,Charlotte Soccer Academy,44723,12,8,3,1,25,2.08,37,16,21
4,NC Fusion ECNL G06,NC Fusion,20316,12,7,3,2,23,1.92,27,14,13
5,VA Union ECNL G06,Fairfax Virginia Union,20314,12,6,3,3,21,1.75,28,15,13
6,Richmond United ECNL G06,Richmond United,20317,12,5,5,2,17,1.42,21,20,1
7,Loudoun Soccer ECNL G06,Northern Virginia Alliance,19775,12,4,5,3,15,1.25,14,27,-13
8,Arlington Soccer ECNL G06,Arlington Soccer Association,59919,12,5,7,0,15,1.25,19,21,-2
9,Fairfax BRAVE SC ECNL G06,Fairfax Virginia Union,13009,12,3,6,3,12,1.0,14,20,-6
10,Wilmington Hammerheads ECNL G06,No Club Selection,19665,12,2,7,3,9,0.75,15,34,-19
11,Beach FC (VA) ECNL G06,Beach FC,67771,12,2,8,2,8,0.67,15,38,-23
12,NCFC Youth ECNL G06,NCFC Youth,20315,12,2,9,1,7,0.58,11,35,-24
13,Charlotte Independence ECNL G06,Charlotte Independence SC,20312,12,1,9,2,5,0.42,9,33,-24
