rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Charlotte SA ECNL G05/04,Charlotte Soccer Academy,44724,12,8,0,4,28,2.33,44,9,35
2,NC Courage ECNL G05/04,NC Courage Academy,44731,12,8,1,3,27,2.25,49,13,36
3,VA Union ECNL G05/04,McLean Youth Soccer,11505,12,8,1,3,27,2.25,44,12,32
4,Richmond United ECNL G05/04,Richmond United,11507,12,8,1,3,27,2.25,28,8,20
5,VDA ECNL G05/04,Virginia Development Academy,20319,12,6,4,2,20,1.67,36,27,9
6,NC Fusion ECNL G05/04,NC Fusion,13554,12,6,5,1,19,1.58,32,24,8
7,Wilmington Hammerheads ECNL G05/04,Wilmington Hammerheads,19667,12,4,3,5,17,1.42,22,26,-4
8,Charlotte Independence ECNL G05/04,Charlotte Independence SC,11116,12,5,6,1,16,1.33,18,26,-8
9,Fairfax BRAVE SC ECNL G05/04,McLean Youth Soccer,11501,12,2,7,3,9,0.75,16,42,-26
10,Arlington Soccer ECNL G05/04,Arlington Soccer Association,59920,12,1,6,5,8,0.67,11,34,-23
11,NCFC Youth ECNL G05/04,NCFC Youth,11511,12,1,8,3,6,0.5,11,34,-23
12,Loudoun Soccer ECNL G05/04,Loudoun Soccer,19776,12,1,8,3,6,0.5,7,34,-27
13,Beach FC (VA) ECNL G05/04,Beach FC,67767,12,0,8,4,4,0.33,16,45,-29
