rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Internationals SC ECNL GU17,Internationals SC,12534,16,13,1,2,41,2.56,37,15,22
2,Ohio Premier ECNL GU17,Ohio Premier,12300,16,9,5,2,29,1.81,34,25,9
3,WNY Flash Academy ECNL GU17,WNY Flash Academy,12532,16,7,6,3,24,1.5,42,31,11
4,Pittsburgh Riverhounds ECNL GU17,Pittsburgh Riverhounds,12533,16,7,6,3,24,1.5,39,32,7
5,Kings Hammer SC ECNL GU17, Kings Hammer Columbus,47020,16,7,8,1,22,1.38,38,39,-1
6,Cleveland Force SC ECNL GU17,Cleveland Force SC,46992,16,4,11,1,13,0.81,26,42,-16
