rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Tennessee Soccer Club ECNL GU13,Tennessee SC,47036,16,10,3,3,33,2.06,40,15,25
2,Ohio Elite Soccer Academy ECNL GU13,Ohio Elite Soccer Academy,47010,16,9,5,2,29,1.81,29,13,16
3,Racing Louisville Academy ECNL GU13,Racing Louisville Academy,59527,16,7,8,1,22,1.38,25,27,-2
4,Indiana Fire ECNL GU13,Indy Eleven Academy,46997,16,7,8,1,22,1.38,20,29,-9
5,FC Alliance ECNL GU13,FC Alliance TN,59348,16,4,6,6,18,1.13,16,18,-2
6,FC Pride Elite ECNL GU13,FC Pride,45768,16,4,7,5,17,1.06,10,26,-16
