rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,World Class FC ECNL G05/04,World Class FC,12262,14,12,2,0,36,2.57,31,4,27,G2005/2004,ECNL
2,FC Stars Blue ECNL G05/04,FC Stars,19893,14,8,3,3,27,1.93,32,18,14,G2005/2004,ECNL
3,Scorpions Soccer ECNL G05/04,Scorpions SC,12257,14,8,6,0,24,1.71,23,20,3,G2005/2004,ECNL
4,Connecticut FC ECNL G05/04,Connecticut FC,12258,14,7,5,2,23,1.64,25,22,3,G2005/2004,ECNL
5,SUSA FC ECNL G05/04,SUSA FC,19410,14,6,6,2,20,1.43,15,17,-2,G2005/2004,ECNL
6,FSA FC ECNL G05/04,FSA FC,12259,13,4,8,1,13,1.0,10,22,-12,G2005/2004,ECNL
7,FC Stars White ECNL G05/04,FC Stars,7119,13,1,7,5,8,0.62,9,20,-11,G2005/2004,ECNL
8,East Meadow SC ECNL G05/04,East Meadow Soccer Club,12266,14,1,10,3,6,0.43,8,30,-22,G2005/2004,ECNL
1,FC Stars Blue ECNL G06,FC Stars,19892,14,11,1,2,35,2.5,39,17,22,G2006,ECNL
2,World Class FC ECNL G06,World Class FC,20357,14,11,1,2,35,2.5,40,13,27,G2006,ECNL
3,Connecticut FC ECNL G06,Connecticut FC,11478,14,8,5,1,25,1.79,26,18,8,G2006,ECNL
4,East Meadow SC ECNL G06,East Meadow Soccer Club,35275,14,6,4,4,22,1.57,22,16,6,G2006,ECNL
5,SUSA FC ECNL G06,SUSA FC,20356,14,5,6,3,18,1.29,22,21,1,G2006,ECNL
6,Scorpions Soccer ECNL G06,Scorpions SC,20355,14,4,8,2,14,1.0,22,25,-3,G2006,ECNL
7,FC Stars White ECNL G06,FC Stars,11665,14,2,12,0,6,0.43,8,37,-29,G2006,ECNL
8,FSA FC ECNL G06,FSA FC,9180,14,2,12,0,6,0.43,12,44,-32,G2006,ECNL
1,World Class FC ECNL G07,World Class FC,35284,14,12,0,2,38,2.71,40,7,33,G2007,ECNL
2,SUSA FC ECNL G07,SUSA FC,33738,14,9,3,2,29,2.07,32,16,16,G2007,ECNL
3,Connecticut FC ECNL G07,Connecticut FC,24089,14,9,4,1,28,2.0,20,10,10,G2007,ECNL
4,FC Stars Blue ECNL G07,FC Stars,19883,14,7,3,4,25,1.79,41,13,28,G2007,ECNL
5,Scorpions Soccer ECNL G07,No Club Selection,35282,14,7,4,3,24,1.71,20,19,1,G2007,ECNL
6,FC Stars White ECNL G07,FC Stars,20345,14,3,10,1,10,0.71,13,33,-20,G2007,ECNL
7,FSA FC ECNL G07,FSA FC,14745,14,1,12,1,4,0.29,6,36,-30,G2007,ECNL
8,East Meadow SC ECNL G07,East Meadow Soccer Club,35274,14,1,13,0,3,0.21,9,47,-38,G2007,ECNL
1,Connecticut FC ECNL G08,Connecticut FC,46829,14,11,1,2,35,2.5,32,14,18,G2008,ECNL
2,FC Stars Blue ECNL G08,FC Stars,35278,14,11,3,0,33,2.36,38,10,28,G2008,ECNL
3,SUSA FC ECNL G08,SUSA FC,14509,14,9,4,1,28,2.0,22,15,7,G2008,ECNL
4,World Class FC ECNL G08,World Class FC,36640,14,8,3,3,27,1.93,27,8,19,G2008,ECNL
5,East Meadow SC ECNL G08,East Meadow Soccer Club,36634,14,5,8,1,16,1.14,12,23,-11,G2008,ECNL
6,FSA FC ECNL G08,FSA FC,25539,14,4,9,1,13,0.93,17,31,-14,G2008,ECNL
7,Scorpions Soccer ECNL G08,Scorpions SC,46961,14,3,9,2,11,0.79,14,23,-9,G2008,ECNL
8,FC Stars White ECNL G08,FC Stars,21552,14,0,14,0,0,0.0,7,45,-38,G2008,ECNL
1,SUSA FC ECNL G09,SUSA FC,46963,14,11,0,3,36,2.57,56,5,51,G2009,ECNL
2,FSA FC ECNL G09,FSA FC,46953,14,8,4,2,26,1.86,38,23,15,G2009,ECNL
3,FC Stars Blue ECNL G09,FC Stars,36636,14,7,3,4,25,1.79,39,24,15,G2009,ECNL
4,World Class FC  ECNL G09,World Class FC,46959,14,7,4,3,24,1.71,28,21,7,G2009,ECNL
5,Connecticut FC ECNL G09,Connecticut FC,47024,14,7,4,3,24,1.71,37,33,4,G2009,ECNL
6,Scorpions Soccer ECNL G09,Scorpions SC,36639,14,4,8,2,14,1.0,28,33,-5,G2009,ECNL
7,East Meadow SC ECNL G09,East Meadow Soccer Club,46957,14,1,11,2,5,0.36,6,41,-35,G2009,ECNL
8,FC Stars White ECNL G09,FC Stars,36635,14,0,11,3,3,0.21,6,58,-52,G2009,ECNL
1,SUSA FC ECNL G10,SUSA FC,59680,14,12,1,1,37,2.64,35,9,26,G2010,ECNL
2,World Class FC ECNL G10,World Class FC,14328,14,10,3,1,31,2.21,43,9,34,G2010,ECNL
3,FC Stars Blue ECNL G10,FC Stars,46955,14,10,3,1,31,2.21,37,18,19,G2010,ECNL
4,FC Stars White ECNL G10,FC Stars,46951,14,5,5,4,19,1.36,26,20,6,G2010,ECNL
5,East Meadow SC ECNL G10,East Meadow Soccer Club,60351,14,6,7,1,19,1.36,22,25,-3,G2010,ECNL
6,Connecticut FC ECNL G10,Connecticut FC,68939,14,5,7,2,17,1.21,14,27,-13,G2010,ECNL
7,Scorpions Soccer ECNL G10,Scorpions SC,59799,14,2,11,1,7,0.5,11,36,-25,G2010,ECNL
8,FSA FC ECNL G10,FSA FC,60791,14,0,13,1,1,0.07,6,50,-44,G2010,ECNL
