rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Bethesda SC ECNL G2009/10,Bethesda SC,135176,0,0,0,0,0,0.0,0,0,0
2,FC DELCO ECNL G2009/10,FC DELCO,59671,0,0,0,0,0,0.0,0,0,0
3,HEX FC Bucks ECNL G2009/10,HEX FC,131597,0,0,0,0,0,0.0,0,0,0
4,Maryland United FC ECNL G2009/10,Maryland United Football Club,62050,0,0,0,0,0,0.0,0,0,0
5,Match Fit Surf ECNL G2009/10,Match Fit Surf,21396,0,0,0,0,0,0.0,0,0,0
6,PDA Blue ECNL G2009/10,PDA Blue (North),128084,0,0,0,0,0,0.0,0,0,0
7,PDA White ECNL G2009/10,PDA White (Shore),128285,0,0,0,0,0,0.0,0,0,0
8,Penn Fusion Soccer Academy ECNL G2009/10,Penn Fusion Soccer Academy,135493,0,0,0,0,0,0.0,0,0,0
9,Philadelphia Ukrainian Nationals ECNL G2009/10,Philadelphia Ukrainian Nationals,134964,0,0,0,0,0,0.0,0,0,0
10,Pipeline SC ECNL G2009/10,Pipeline SC,46948,0,0,0,0,0,0.0,0,0,0
