rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Philadelphia Ukranian Nationals ECNL G2012/13,Philadelphia Ukrainian Nationals,134967,1,1,0,0,3,3.0,5,0,5
2,PDA Blue ECNL G2012/13,PDA Blue (North),128078,1,1,0,0,3,3.0,3,1,2
3,Match Fit Surf ECNL G2012/13,Match Fit Surf,43460,1,0,0,1,1,1.0,1,1,0
4,PDA White ECNL G2012/13,PDA White (Shore),128279,1,0,0,1,1,1.0,1,1,0
5,Bethesda SC ECNL G2012/13,Bethesda SC,135183,0,0,0,0,0,0.0,0,0,0
6,FC DELCO ECNL G2012/13,FC DELCO,94408,0,0,0,0,0,0.0,0,0,0
7,HEX FC Bucks ECNL G2012/13,HEX FC,131592,0,0,0,0,0,0.0,0,0,0
8,Maryland United FC ECNL G2012/13,Maryland United Football Club,95035,0,0,0,0,0,0.0,0,0,0
9,Penn Fusion Soccer Academy ECNL G2012/13,Penn Fusion Soccer Academy,135481,1,0,1,0,0,0.0,1,3,-2
10,Pipeline SC ECNL G2012/13,Pipeline SC,79385,1,0,1,0,0,0.0,0,5,-5
