rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Bethesda SC ECNL G2011/12,Bethesda SC,135173,0,0,0,0,0,0.0,0,0,0
2,FC DELCO ECNL G2011/12,FC DELCO,48170,0,0,0,0,0,0.0,0,0,0
3,HEX FC Bucks ECNL G2011/12,HEX FC,131593,0,0,0,0,0,0.0,0,0,0
4,Maryland United FC ECNL G2011/12,Maryland United Football Club,118684,0,0,0,0,0,0.0,0,0,0
5,Match Fit Surf ECNL G2011/12,Match Fit Surf,54497,0,0,0,0,0,0.0,0,0,0
6,PDA Blue ECNL G2011/12,PDA Blue (North),128080,0,0,0,0,0,0.0,0,0,0
7,PDA White ECNL G2011/12,PDA White (Shore),128281,0,0,0,0,0,0.0,0,0,0
8,Penn Fusion Soccer Academy ECNL G2011/12,Penn Fusion Soccer Academy,135485,0,0,0,0,0,0.0,0,0,0
9,Philadelphia Ukrainian Nationals ECNL G2011/12,Philadelphia Ukrainian Nationals,134966,0,0,0,0,0,0.0,0,0,0
10,Pipeline SC ECNL G2011/12,Pipeline SC,55341,0,0,0,0,0,0.0,0,0,0
