rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,San Diego Surf ECNL G09,San Diego Surf Soccer Club,61178,16,13,3,0,39,2.44,37,15,22
2,Arizona Arsenal ECNL G09,Arizona Arsenal Soccer Club,58586,16,11,1,4,37,2.31,43,15,28
3,Legends FC ECNL G09,Legends FC (CA),10361,16,10,4,2,32,2.0,44,20,24
4,Legends FC San Diego ECNL G09,Legends FC - Del Mar,53810,16,8,2,6,30,1.88,38,17,21
5,Slammers FC HB Koge ECNL G09,Slammers FC HB Koge,54921,16,9,4,3,30,1.88,33,15,18
6,Utah Royals FC-AZ ECNL G09,Utah Royals FC - AZ,56530,16,9,4,3,30,1.88,31,15,16
7,Eagles SC ECNL G09,Eagles SC,5544,16,9,6,1,28,1.75,34,28,6
8,Beach FC ECNL G09,Beach Futbol Club,60046,16,7,6,3,24,1.5,36,25,11
9,SLAMMERS FC ECNL G09,Slammers FC,42498,16,7,6,3,24,1.5,27,26,1
10,LAFC So Cal ECNL G09,LAFC So Cal,59866,16,7,7,2,23,1.44,20,24,-4
11, LV Heat Surf ECNL G09,LV Heat Surf SC ,50614,16,7,7,2,23,1.44,30,26,4
12,Pateadores ECNL G09,Pateadores Soccer Club,68893,16,6,7,3,21,1.31,29,23,6
13,Phoenix Rising ECNL G09,Phoenix Rising FC,59771,16,5,8,3,18,1.13,22,29,-7
14,LA Breakers FC ECNL G09,LA Breakers FC,55512,16,4,10,2,14,0.88,17,32,-15
15,So Cal Blues ECNL G09,So Cal Blues,60035,16,2,12,2,8,0.5,6,35,-29
16,Rebels SC ECNL G09,Rebels Soccer Club,26385,16,0,12,4,4,0.25,11,63,-52
17,Sporting California USA ECNL G09,Sporting California USA,59459,16,0,15,1,1,0.06,5,55,-50
