rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,So Cal Blues ECNL G11,So Cal Blues,82132,16,15,0,1,46,2.88,76,4,72
2,Slammers FC HB Koge ECNL G11,Slammers FC HB Koge,64493,16,14,1,1,43,2.69,51,3,48
3,San Diego Surf ECNL G11,San Diego Surf Soccer Club,77020,16,12,2,2,38,2.38,74,24,50
4,Beach FC ECNL G11,Beach Futbol Club,77421,16,11,4,1,34,2.13,38,23,15
5,Eagles SC ECNL G11,Eagles SC,25917,16,9,4,3,30,1.88,33,17,16
6,Phoenix Rising ECNL G11,Phoenix Rising FC,62249,16,9,6,1,28,1.75,31,24,7
7,SLAMMERS FC ECNL G11,Slammers FC,61426,16,7,6,3,24,1.5,23,24,-1
8,Legends FC ECNL G11,Legends FC (CA),24716,16,7,7,2,23,1.44,22,27,-5
9,LAFC So Cal ECNL G11,LAFC So Cal,82136,16,5,6,5,20,1.25,17,24,-7
10, LV Heat Surf ECNL G11,LV Heat Surf SC ,48247,16,6,9,1,19,1.19,27,45,-18
11,Utah Royals FC-AZ ECNL G11,Utah Royals FC - AZ,77350,16,5,8,3,18,1.13,14,27,-13
12,Sporting California USA ECNL G11,Sporting California USA,79198,16,4,8,4,16,1.0,17,39,-22
13,Pateadores ECNL G11,Pateadores Soccer Club,75387,16,4,9,3,15,0.94,21,30,-9
14,Legends FC San Diego ECNL G11,Legends FC - Del Mar,79944,16,3,9,4,13,0.81,12,49,-37
15,Arizona Arsenal ECNL G11,Arizona Arsenal Soccer Club,77284,16,1,9,6,9,0.56,13,41,-28
16,LA Breakers FC ECNL G11,LA Breakers FC,82166,16,2,12,2,8,0.5,8,36,-28
17,Rebels SC ECNL G11,Rebels Soccer Club,81798,16,0,14,2,2,0.13,9,49,-40
