rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Slammers FC HB Koge ECNL G10,Slammers FC HB Koge,64905,16,14,0,2,44,2.75,51,8,43
2,San Diego Surf ECNL G10,San Diego Surf Soccer Club,62104,16,14,1,1,43,2.69,64,10,54
3,Legends FC ECNL G10,Legends FC (CA),65115,16,11,3,2,35,2.19,42,12,30
4,Beach FC ECNL G10,Beach Futbol Club,18443,16,8,4,4,28,1.75,32,17,15
5,LA Breakers FC ECNL G10,LA Breakers FC,68845,16,8,6,2,26,1.63,30,24,6
6,So Cal Blues ECNL G10,So Cal Blues,69520,16,6,3,7,25,1.56,19,20,-1
7,SLAMMERS FC ECNL G10,Slammers FC,64956,16,8,7,1,25,1.56,34,29,5
8,Pateadores ECNL G10,Pateadores Soccer Club,68892,16,7,6,3,24,1.5,27,26,1
9,Eagles SC ECNL G10,Eagles SC,62045,16,7,6,3,24,1.5,22,22,0
10,LAFC So Cal ECNL G10,LAFC So Cal,65560,16,7,8,1,22,1.38,19,23,-4
11, LV Heat Surf ECNL G10,LV Heat Surf SC ,42984,16,6,6,4,22,1.38,28,27,1
12,Rebels SC ECNL G10,Rebels Soccer Club,21001,16,5,8,3,18,1.13,22,29,-7
13,Phoenix Rising ECNL G10,Phoenix Rising FC,68888,16,3,6,7,16,1.0,16,27,-11
14,Legends FC San Diego ECNL G10,Legends FC - Del Mar,64321,16,2,7,7,13,0.81,14,34,-20
15,Utah Royals FC-AZ ECNL G10,Utah Royals FC - AZ,62330,16,2,14,0,6,0.38,7,50,-43
16,Sporting California USA ECNL G10,Sporting California USA,69733,16,1,12,3,6,0.38,16,45,-29
17,Arizona Arsenal ECNL G10,Arizona Arsenal Soccer Club,65042,16,0,12,4,4,0.25,10,50,-40
