rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Beach FC ECNL G07/06,Beach Futbol Club,46284,16,15,0,1,46,2.88,55,9,46
2,Legends FC ECNL G07/06,Legends FC (CA),28540,16,13,0,3,42,2.63,67,10,57
3,Slammers FC HB Koge ECNL G07/06,Slammers FC HB Koge,8995,16,11,3,2,35,2.19,62,19,43
4,LA Breakers FC ECNL G07/06,No Club Selection,34925,16,10,2,4,34,2.13,55,30,25
5,Rebels SC ECNL G07/06,Rebels Soccer Club,9867,16,9,3,4,31,1.94,53,22,31
6,SLAMMERS FC ECNL G07/06,Slammers FC,18022,16,9,4,3,30,1.88,37,21,16
7,Utah Royals FC-AZ ECNL G07/06,Utah Royals FC - AZ,56527,16,8,5,3,27,1.69,41,25,16
8,LAFC So Cal ECNL G07/06,LAFC So Cal,45888,16,7,6,3,24,1.5,32,33,-1
9,Phoenix Rising ECNL G07/06,Phoenix Rising FC,35183,16,7,8,1,22,1.38,24,28,-4
10,San Diego Surf ECNL G07/06,San Diego Surf Soccer Club,45876,16,6,7,3,21,1.31,34,23,11
11, LV Heat Surf ECNL G07/06,LV Heat Surf SC ,35182,16,4,9,3,15,0.94,28,49,-21
12,Arizona Arsenal ECNL G07/06,Arizona Arsenal Soccer Club,33451,16,4,9,3,15,0.94,16,36,-20
13,Legends FC San Diego ECNL G07/06,Legends FC - Del Mar,35180,16,3,10,3,12,0.75,15,42,-27
14,Pateadores ECNL G07/06,Pateadores Soccer Club,89862,16,4,12,0,12,0.75,14,55,-41
15,So Cal Blues ECNL G07/06,So Cal Blues,35189,16,3,11,2,11,0.69,17,40,-23
16,Eagles SC ECNL G07/06,No Club Selection,1153,16,2,10,4,10,0.63,16,49,-33
17,Sporting California USA ECNL G07/06,Sporting California USA,21540,16,0,16,0,0,0.0,5,80,-75
