rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Slammers FC HB Koge ECNL G08,Slammers FC HB Koge,29720,16,15,0,1,46,2.88,63,8,55
2,San Diego Surf ECNL G08,San Diego Surf Soccer Club,45875,16,13,2,1,40,2.5,46,15,31
3,Beach FC ECNL G08,Beach Futbol Club,60045,16,10,3,3,33,2.06,44,26,18
4,Legends FC ECNL G08,Legends FC (CA),8362,16,10,4,2,32,2.0,34,15,19
5,SLAMMERS FC ECNL G08,Slammers FC,9288,16,9,3,4,31,1.94,33,13,20
6,Eagles SC ECNL G08,Eagles SC,6122,16,10,5,1,31,1.94,27,20,7
7,Rebels SC ECNL G08,Rebels Soccer Club,19029,16,7,3,6,27,1.69,34,21,13
8,So Cal Blues ECNL G08,So Cal Blues,29588,16,8,6,2,26,1.63,35,23,12
9,Utah Royals FC-AZ ECNL G08,Utah Royals FC - AZ,56526,16,8,7,1,25,1.56,21,22,-1
10,Phoenix Rising ECNL G08,Phoenix Rising FC,45886,16,5,8,3,18,1.13,19,32,-13
11,LAFC So Cal ECNL G08,LAFC So Cal,45887,16,3,8,5,14,0.88,19,35,-16
12,Pateadores ECNL G08,Pateadores Soccer Club,68894,16,3,8,5,14,0.88,14,30,-16
13,LA Breakers FC ECNL G08,No Club Selection,29129,16,3,9,4,13,0.81,23,37,-14
14,Legends FC San Diego ECNL G08,Legends FC - Del Mar,46835,16,3,9,4,13,0.81,18,35,-17
15, LV Heat Surf ECNL G08,LV Heat Surf SC ,46745,16,3,11,2,11,0.69,12,27,-15
16,Sporting California USA ECNL G08,Sporting California USA,28062,16,2,13,1,7,0.44,13,54,-41
17,Arizona Arsenal ECNL G08,Arizona Arsenal Soccer Club,45882,16,1,14,1,4,0.25,8,50,-42
