rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Michigan Hawks ECNL G10,Michigan Hawks,69108,15,14,1,0,42,2.8,49,7,42
2,SLSG Navy ECNL G10,St. Louis Scott Gallagher,68758,15,11,2,2,35,2.33,47,11,36
3,Kansas City Athletics ECNL G10,KC Athletics,46766,15,11,2,2,35,2.33,33,17,16
4,Nationals Soccer Club Nationals ECNL G10,Nationals,94342,15,10,5,0,30,2.0,34,20,14
5,Eclipse Select SC ECNL G10,Eclipse Select Soccer Club,69955,15,8,4,3,27,1.8,25,17,8
6,Minnesota Thunder ECNL G10,Minnesota Thunder Academy,69526,15,8,5,2,26,1.73,25,20,5
7,Michigan Hawks Magic ECNL G10,Michigan Hawks,69104,15,6,4,5,23,1.53,25,21,4
8,Chicago Inter Soccer ECNL G10,Chicago Inter,69849,15,6,5,4,22,1.47,28,21,7
9,Missouri Rush ECNL G10,Missouri Rush,114378,15,6,7,2,20,1.33,13,19,-6
10,SLSG Green ECNL G10,St. Louis Scott Gallagher,68780,14,4,8,2,14,1.0,13,25,-12
11,FC Wisconsin ECNL G10,FC Wisconsin Girls,68013,15,4,8,3,15,1.0,9,26,-17
12,Gretna Elite Academy ECNL G10,Gretna Elite Academy,60717,15,4,9,2,14,0.93,18,27,-9
13,Rockford Raptors ECNL G10,Rockford Raptors FC,68288,15,3,9,3,12,0.8,11,37,-26
14,Sporting Blue Valley ECNL G10,Sporting Blue Valley,68425,14,3,10,1,10,0.71,9,32,-23
15,Liverpool FC IA Michigan ECNL G10,Liverpool FC-IA Michigan,69186,15,2,10,3,9,0.6,15,30,-15
16,Sporting Iowa ECNL G10,Sporting Iowa Central,69510,15,1,12,2,5,0.33,12,36,-24
