rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,SLSG Navy ECNL G13,St. Louis Scott Gallagher,117332,15,12,1,2,38,2.53,45,7,38
2,Michigan Hawks ECNL G13,Michigan Hawks,79689,15,12,2,1,37,2.47,37,6,31
3,Eclipse Select SC ECNL G13,Eclipse Select Soccer Club,97596,15,10,0,5,35,2.33,36,7,29
4,Nationals Soccer Club ECNL G13,Nationals,115103,15,10,4,1,31,2.07,33,12,21
5,Chicago Inter Soccer ECNL G13,Chicago Inter,117700,15,10,4,1,31,2.07,34,19,15
6,SLSG Green ECNL G13,St. Louis Scott Gallagher,117330,15,10,4,1,31,2.07,26,15,11
7,Kansas City Athletics ECNL G13,KC Athletics,116235,15,9,4,2,29,1.93,25,19,6
8,Gretna Elite Academy ECNL G13,Gretna Elite Academy,111268,15,4,6,5,17,1.13,19,15,4
9,Rockford Raptors ECNL G13,Rockford Raptors FC,98305,15,4,7,4,16,1.07,16,24,-8
10,Sporting Blue Valley ECNL G13,Sporting Blue Valley,104648,15,4,8,3,15,1.0,25,30,-5
11,Minnesota Thunder ECNL G13,Minnesota Thunder Academy,87978,15,4,8,3,15,1.0,17,29,-12
12,Missouri Rush ECNL G13,Missouri Rush,114381,15,3,8,4,13,0.87,13,29,-16
13,Michigan Hawks Magic ECNL G13,Michigan Hawks,79692,15,2,7,6,12,0.8,11,33,-22
14,Liverpool FC IA Michigan ECNL G13,Liverpool FC-IA Michigan,104671,15,3,11,1,10,0.67,16,43,-27
15,FC Wisconsin ECNL G13,FC Wisconsin Girls,82513,15,2,12,1,7,0.47,11,42,-31
16,Sporting Iowa ECNL G13,Sporting Iowa Central,97576,15,1,14,0,3,0.2,9,43,-34
