rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,SLSG Navy ECNL G08/07,St. Louis Scott Gallagher,46768,15,14,1,0,42,2.8,53,8,45,G2008/2007,ECNL
2,Michigan Hawks ECNL G08/07,Michigan Hawks,46771,15,14,1,0,42,2.8,64,8,56,G2008/2007,ECNL
3,Nationals Soccer Club ECNL G08/07,Nationals,94344,15,11,3,1,34,2.27,57,22,35,G2008/2007,ECNL
4,Liverpool FC IA Michigan ECNL G08/07,Liverpool FC-IA Michigan,59307,15,8,4,3,27,1.8,28,19,9,G2008/2007,ECNL
5,Sporting Blue Valley ECNL G08/07,Sporting Blue Valley,46617,14,8,5,1,25,1.79,36,26,10,G2008/2007,ECNL
6,Gretna Elite Academy ECNL G08/07,Gretna Elite Academy,11467,15,8,6,1,25,1.67,24,26,-2,G2008/2007,ECNL
7,Kansas City Athletics ECNL G08/07,KC Athletics,19672,15,8,6,1,25,1.67,39,27,12,G2008/2007,ECNL
8,Minnesota Thunder ECNL G08/07,Minnesota Thunder Academy,46774,13,6,4,3,21,1.62,42,20,22,G2008/2007,ECNL
9,Chicago Inter Soccer ECNL G08/07,Chicago Inter,69851,15,7,8,0,21,1.4,30,28,2,G2008/2007,ECNL
10,Rockford Raptors ECNL G08/07,Rockford Raptors FC,60410,15,6,8,1,19,1.27,24,44,-20,G2008/2007,ECNL
11,Eclipse Select SC ECNL G08/07,Eclipse Select Soccer Club,46760,15,5,7,3,18,1.2,24,19,5,G2008/2007,ECNL
12,Michigan Hawks Magic ECNL G08/07,Michigan Hawks,46773,15,4,8,3,15,1.0,16,27,-11,G2008/2007,ECNL
13,SLSG Green ECNL G08/07,St. Louis Scott Gallagher,46767,13,3,9,1,10,0.77,9,32,-23,G2008/2007,ECNL
14,FC Wisconsin ECNL G08/07,FC Wisconsin Girls,46764,15,2,8,5,11,0.73,13,35,-22,G2008/2007,ECNL
15,Missouri Rush ECNL G08/07,Missouri Rush,114376,14,1,12,1,4,0.29,8,59,-51,G2008/2007,ECNL
16,Sporting Iowa ECNL G08/07,Sporting Iowa Central,59751,15,0,15,0,0,0.0,6,73,-67,G2008/2007,ECNL
1,Michigan Hawks ECNL G09,Michigan Hawks,50646,15,12,1,2,38,2.53,33,9,24,G2009,ECNL
2,Minnesota Thunder ECNL G09,Minnesota Thunder Academy,52518,15,11,2,2,35,2.33,42,10,32,G2009,ECNL
3,Gretna Elite Academy ECNL G09,Gretna Elite Academy,55220,15,10,2,3,33,2.2,34,17,17,G2009,ECNL
4,Eclipse Select SC ECNL G09,Eclipse Select Soccer Club,59906,15,10,3,2,32,2.13,27,13,14,G2009,ECNL
5,Kansas City Athletics ECNL G09,KC Athletics,33175,15,10,5,0,30,2.0,38,14,24,G2009,ECNL
6,Nationals Soccer Club Nationals ECNL G09,Nationals,94331,15,9,3,3,30,2.0,33,20,13,G2009,ECNL
7,SLSG Navy ECNL G09,St. Louis Scott Gallagher,54343,15,8,5,2,26,1.73,40,11,29,G2009,ECNL
8,Rockford Raptors ECNL G09,Rockford Raptors FC,60409,15,6,4,5,23,1.53,18,18,0,G2009,ECNL
9,Chicago Inter Soccer ECNL G09,Chicago Inter,69850,15,5,7,3,18,1.2,19,27,-8,G2009,ECNL
10,SLSG Green ECNL G09,St. Louis Scott Gallagher,53259,14,4,6,4,16,1.14,19,22,-3,G2009,ECNL
11,Missouri Rush ECNL G09,Missouri Rush,114377,15,5,9,1,16,1.07,17,26,-9,G2009,ECNL
12,Michigan Hawks Magic ECNL G09,Michigan Hawks,54823,15,4,8,3,15,1.0,9,28,-19,G2009,ECNL
13,Sporting Iowa ECNL G09,Sporting Iowa Central,59750,15,2,9,4,10,0.67,6,33,-27,G2009,ECNL
