rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Arlington Soccer Association ECNL G2009/10,Arlington Soccer Association,134236,0,0,0,0,0,0.0,0,0,0
2,Beach FC (VA) ECNL G2009/10,Beach FC,135521,0,0,0,0,0,0.0,0,0,0
3,Charlotte SA ECNL G2009/10,Charlotte Soccer Academy,131441,0,0,0,0,0,0.0,0,0,0
4,Fairfax Virginia Union ECNL G2009/10,Fairfax Virginia Union,135360,0,0,0,0,0,0.0,0,0,0
5,NC Fusion ECNL G2009/10,NC Fusion,50566,0,0,0,0,0,0.0,0,0,0
6,NCFC Youth ECNL G2009/10,NCFC Youth,69196,0,0,0,0,0,0.0,0,0,0
7,NCFC Youth NC Courage ECNL G2009/10,NCFC Youth,130285,0,0,0,0,0,0.0,0,0,0
8,Richmond United ECNL G2009/10,Richmond United,133820,0,0,0,0,0,0.0,0,0,0
9,South Carolina Surf ECNL G2009/10,South Carolina Surf SC,129046,0,0,0,0,0,0.0,0,0,0
10,VDA ECNL G2009/10,Virginia Development Academy,19656,0,0,0,0,0,0.0,0,0,0
11,Wilmington Hammerheads ECNL G2009/10,Wilmington Hammerheads,134661,0,0,0,0,0,0.0,0,0,0
