rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Arlington Soccer Association ECNL G2010/11,Arlington Soccer Association,134237,0,0,0,0,0,0.0,0,0,0
2,Beach FC (VA) ECNL G2010/11,Beach FC,135520,0,0,0,0,0,0.0,0,0,0
3,Charlotte SA ECNL G2010/11,Charlotte Soccer Academy,131437,0,0,0,0,0,0.0,0,0,0
4,Fairfax Virginia Union ECNL G2010/11,Fairfax Virginia Union,135361,0,0,0,0,0,0.0,0,0,0
5,NC Fusion ECNL G2010/11,NC Fusion,69224,0,0,0,0,0,0.0,0,0,0
6,NCFC Youth ECNL G2010/11,NCFC Youth,80895,0,0,0,0,0,0.0,0,0,0
7,NCFC Youth NC Courage ECNL G2010/11,NCFC Youth,130286,0,0,0,0,0,0.0,0,0,0
8,Richmond United ECNL G2010/11,Richmond United,133821,0,0,0,0,0,0.0,0,0,0
9,South Carolina Surf ECNL G2010/11,South Carolina Surf SC,129047,0,0,0,0,0,0.0,0,0,0
10,VDA ECNL G2010/11,Virginia Development Academy,81266,0,0,0,0,0,0.0,0,0,0
11,Wilmington Hammerheads ECNL G2010/11,Wilmington Hammerheads,134660,0,0,0,0,0,0.0,0,0,0
