rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Arlington Soccer Association ECNL G2013/14,Arlington Soccer Association,134240,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
2,Beach FC (VA) ECNL G2013/14,Beach FC,135516,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
3,Charlotte SA ECNL G2013/14,Charlotte Soccer Academy,131428,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
4,Fairfax Virginia Union ECNL G2013/14,Fairfax Virginia Union,135364,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
5,NC Fusion ECNL G2013/14,NC Fusion,112976,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
6,NCFC Youth ECNL G2013/14,NCFC Youth,132023,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
7,NCFC Youth NC Courage ECNL G2013/14,NCFC Youth,131830,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
8,Richmond United ECNL G2013/14,Richmond United,133824,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
9,South Carolina Surf ECNL G2013/14,South Carolina Surf SC,129050,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
10,VDA ECNL G2013/14,Virginia Development Academy,133050,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
11,Wilmington Hammerheads ECNL G2013/14,Wilmington Hammerheads,134657,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
1,Arlington Soccer Association ECNL G2012/13,Arlington Soccer Association,134239,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
2,Beach FC (VA) ECNL G2012/13,Beach FC,135517,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
3,Charlotte SA ECNL G2012/13,Charlotte Soccer Academy,131431,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
4,Fairfax Virginia Union ECNL G2012/13,Fairfax Virginia Union,135363,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
5,NC Fusion ECNL G2012/13,NC Fusion,95059,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
6,NCFC Youth ECNL G2012/13,NCFC Youth,98907,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
7,NCFC Youth NC Courage ECNL G2012/13,NCFC Youth,130288,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
8,Richmond United ECNL G2012/13,Richmond United,133823,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
9,South Carolina Surf ECNL G2012/13,South Carolina Surf SC,129049,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
10,VDA ECNL G2012/13,Virginia Development Academy,113303,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
11,Wilmington Hammerheads ECNL G2012/13,Wilmington Hammerheads,134658,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
1,Arlington Soccer Association ECNL G2011/12,Arlington Soccer Association,134238,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
2,Beach FC (VA) ECNL G2011/12,Beach FC,135518,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
3,Charlotte SA ECNL G2011/12,Charlotte Soccer Academy,131433,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
4,Fairfax Virginia Union ECNL G2011/12,Fairfax Virginia Union,135362,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
5,NC Fusion ECNL G2011/12,NC Fusion,82112,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
6,NCFC Youth ECNL G2011/12,NCFC Youth,94046,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
7,NCFC Youth NC Courage ECNL G2011/12,NCFC Youth,130287,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
8,Richmond United ECNL G2011/12,Richmond United,133822,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
9,South Carolina Surf ECNL G2011/12,South Carolina Surf SC,129048,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
